n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
457,457,1,457,1,0.0,1.0,0.0,E,457,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,2 * 229,2,229,2,0.11313236168925314,0.8868676383107469,0.11313236168925314,E,229,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,3^3 * 17,27,17,27,0.5377402294068939,0.4622597705931061,0.5377402294068939,A,1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
460,2^2 * 5 * 23,4,115,20,0.22610392284444125,0.7738960771555587,0.48860244825281757,A·C,1,5,1,23,0.0,0.33919092389405175,0.0,0.6608090761059482,0.6404973632512694,0.4956783968486363,1.888309262223456,2.1511986340355023
461,461,1,461,1,0.0,1.0,0.0,A,1,461,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
462,2 * 3 * 7 * 11,6,77,462,0.2920284441669651,0.707971555833035,1.0,B·C,1,1,7,11,0.0,0.0,0.4479735992007008,0.5520264007992992,0.6877238766120716,0.4868889429085745,1.5351884080649987,1.7551029358318448
463,463,1,463,1,0.0,1.0,0.0,B,1,1,463,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
464,2^4 * 29,16,29,16,0.4515701718258645,0.5484298281741355,0.4515701718258645,A,1,29,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
465,3 * 5 * 31,3,155,15,0.17886773005789774,0.8211322699421023,0.44090421830363996,A·B,1,5,31,1,0.0,0.31911605211206506,0.6808839478879348,0.0,0.6262013662895005,0.5141941493421435,2.2781595219375537,2.470247182807211
466,2 * 233,2,233,2,0.1128135153843841,0.8871864846156159,0.1128135153843841,A,1,233,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
467,467,1,467,1,0.0,1.0,0.0,C,1,1,1,467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
468,2^2 * 3^2 * 13,36,13,468,0.5828311647691885,0.4171688352308114,1.0,E,13,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,7 * 67,1,469,7,0.0,1.0,0.3163771458365332,B,1,1,469,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
470,2 * 5 * 47,2,235,10,0.1126568006369859,0.8873431993630141,0.374237791116128,A·C,1,5,1,47,0.0,0.29479122696485405,0.0,0.7052087730351458,0.6063861053233548,0.5380725867469033,3.0134532725965326,2.8903019773660725
471,3 * 157,3,157,3,0.17849514511734238,0.8215048548826576,0.17849514511734238,E,157,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,2^3 * 59,8,59,8,0.3377373134695005,0.6622626865304996,0.3377373134695005,C,1,1,1,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
