P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
205,49,4393,5·41,7·7,23·191,1,573659905,573659905,13×1
205,49,5269,5·41,7·7,11·479,1,688052365,688052365,13×1
205,49,4609,5·41,7·7,11·419,1,601866265,601866265,13×1
205,49,4741,5·41,7·7,11·431,1,619103485,619103485,13×1
205,49,4873,5·41,7·7,11·443,1,636340705,636340705,13×1
205,49,4897,5·41,7·7,59·83,1,639474745,639474745,13×1
205,49,5029,5·41,7·7,47·107,1,656711965,656711965,13×1
205,49,5041,5·41,7·7,71·71,1,658278985,658278985,13×1
205,49,5137,5·41,7·7,11·467,1,670815145,670815145,13×1
205,49,5221,5·41,7·7,23·227,1,681784285,681784285,13×1
493,217,517,17·29,7·31,11·47,1,719019301,719019301,13×1
505,217,529,5·101,7·31,23·23,1,753616045,753616045,13×1
493,217,649,17·29,7·31,11·59,1,902598697,902598697,13×1
2245,49,253,5·449,7·7,11·23,1,361806445,361806445,13×1
2245,49,529,5·449,7·7,23·23,1,756504385,756504385,13×1
2245,49,649,5·449,7·7,11·59,1,928112185,928112185,13×1
2245,133,121,5·449,7·19,11·11,1,469674205,469674205,13×1
2245,133,253,5·449,7·19,11·23,1,982046065,982046065,13×1
2245,217,121,5·449,7·31,11·11,1,766310545,766310545,13×1
2305,49,253,5·461,7·7,11·23,1,371476105,371476105,13×1
2305,49,517,5·461,7·7,11·47,1,759103345,759103345,13×1
2305,49,529,5·461,7·7,23·23,1,776722765,776722765,13×1
2305,49,649,5·461,7·7,11·59,1,952916965,952916965,13×1
2305,133,121,5·461,7·19,11·11,1,482226745,482226745,13×1
2305,217,121,5·461,7·31,11·11,1,786791005,786791005,13×1
2329,49,253,17·137,7·7,11·23,1,375343969,375343969,13×1
2329,49,517,17·137,7·7,11·47,1,767007241,767007241,13×1
2329,49,529,17·137,7·7,23·23,1,784810117,784810117,13×1
2329,49,649,17·137,7·7,11·59,1,962838877,962838877,13×1
2329,133,121,17·137,7·19,11·11,1,487247761,487247761,13×1
2329,217,121,17·137,7·31,11·11,1,794983189,794983189,13×1
2533,49,253,17·149,7·7,11·23,1,408220813,408220813,13×1
2533,49,517,17·149,7·7,11·47,1,834190357,834190357,13×1
2245,49,517,5·449,7·7,11·47,1,739343605,739343605,13×1
2173,217,121,41·53,7·31,11·11,1,741733993,741733993,13×1
2533,133,121,17·149,7·19,11·11,1,529926397,529926397,13×1
2173,133,253,41·53,7·19,11·23,1,950550601,950550601,13×1
1945,49,529,5·389,7·7,23·23,1,655412485,655412485,13×1
1945,49,649,5·389,7·7,11·59,1,804088285,804088285,13×1
1945,49,781,5·389,7·7,11·71,1,967631665,967631665,13×1
1945,133,121,5·389,7·19,11·11,1,406911505,406911505,13×1
1945,133,253,5·389,7·19,11·23,1,850814965,850814965,13×1
1945,217,121,5·389,7·31,11·11,1,663908245,663908245,13×1
1945,301,121,5·389,7·43,11·11,1,920904985,920904985,13×1
2005,49,517,5·401,7·7,11·47,1,660304645,660304645,13×1
2005,49,529,5·401,7·7,23·23,1,675630865,675630865,13×1
2005,49,649,5·401,7·7,11·59,1,828893065,828893065,13×1
2005,49,781,5·401,7·7,11·71,1,997481485,997481485,13×1
2005,133,121,5·401,7·19,11·11,1,419464045,419464045,13×1
2005,133,253,5·401,7·19,11·23,1,877061185,877061185,13×1
2005,217,121,5·401,7·31,11·11,1,684388705,684388705,13×1
2005,301,121,5·401,7·43,11·11,1,949313365,949313365,13×1
2173,49,517,41·53,7·7,11·47,1,715631917,715631917,13×1
2173,49,529,41·53,7·7,23·23,1,732242329,732242329,13×1
2173,49,649,41·53,7·7,11·59,1,898346449,898346449,13×1
2173,133,121,41·53,7·19,11·11,1,454611157,454611157,13×1
2533,49,529,17·149,7·7,23·23,1,853552609,853552609,13×1
2533,217,121,17·149,7·31,11·11,1,864616753,864616753,13×1
3085,133,121,5·617,7·19,11·11,1,645409765,645409765,13×1
2809,49,529,53·53,7·7,23·23,1,946557157,946557157,13×1
2809,217,121,53·53,7·31,11·11,1,958826869,958826869,13×1
2845,49,253,5·569,7·7,11·23,1,458503045,458503045,13×1
2845,49,517,5·569,7·7,11·47,1,936941005,936941005,13×1
2845,49,529,5·569,7·7,23·23,1,958688185,958688185,13×1
2845,133,121,5·569,7·19,11·11,1,595199605,595199605,13×1
2845,217,121,5·569,7·31,11·11,1,971115145,971115145,13×1
2929,49,253,29·101,7·7,11·23,1,472040569,472040569,13×1
2929,49,517,29·101,7·7,11·47,1,964604641,964604641,13×1
2929,49,529,29·101,7·7,23·23,1,986993917,986993917,13×1
2929,133,121,29·101,7·19,11·11,1,612773161,612773161,13×1
2929,217,121,29·101,7·31,11·11,1,999787789,999787789,13×1
2941,49,253,17·173,7·7,11·23,1,473974501,473974501,13×1
2941,49,517,17·173,7·7,11·47,1,968556589,968556589,13×1
2941,49,529,17·173,7·7,23·23,1,991037593,991037593,13×1
2941,133,121,17·173,7·19,11·11,1,615283669,615283669,13×1
2965,49,253,5·593,7·7,11·23,1,477842365,477842365,13×1
2965,49,517,5·593,7·7,11·47,1,976460485,976460485,13×1
2965,49,529,5·593,7·7,23·23,1,999124945,999124945,13×1
2965,133,121,5·593,7·19,11·11,1,620304685,620304685,13×1
2809,133,121,53·53,7·19,11·11,1,587668081,587668081,13×1
2809,49,517,53·53,7·7,11·47,1,925085161,925085161,13×1
2545,49,253,5·509,7·7,11·23,1,410154745,410154745,13×1
2809,49,253,53·53,7·7,11·23,1,452701249,452701249,13×1
2545,49,517,5·509,7·7,11·47,1,838142305,838142305,13×1
2545,49,529,5·509,7·7,23·23,1,857596285,857596285,13×1
2545,133,121,5·509,7·19,11·11,1,532436905,532436905,13×1
2545,217,121,5·509,7·31,11·11,1,868712845,868712845,13×1
2581,49,253,29·89,7·7,11·23,1,415956541,415956541,13×1
2581,49,517,29·89,7·7,11·47,1,849998149,849998149,13×1
2581,49,529,29·89,7·7,23·23,1,869727313,869727313,13×1
2581,133,121,29·89,7·19,11·11,1,539968429,539968429,13×1
2581,217,121,29·89,7·31,11·11,1,881001121,881001121,13×1
2605,49,253,5·521,7·7,11·23,1,419824405,419824405,13×1
2605,49,517,5·521,7·7,11·47,1,857902045,857902045,13×1
2605,49,529,5·521,7·7,23·23,1,877814665,877814665,13×1
2605,133,121,5·521,7·19,11·11,1,544989445,544989445,13×1
2605,217,121,5·521,7·31,11·11,1,889193305,889193305,13×1
2785,49,253,5·557,7·7,11·23,1,448833385,448833385,13×1
2785,49,517,5·557,7·7,11·47,1,917181265,917181265,13×1
2785,49,529,5·557,7·7,23·23,1,938469805,938469805,13×1
2785,133,121,5·557,7·19,11·11,1,582647065,582647065,13×1
2785,217,121,5·557,7·31,11·11,1,950634685,950634685,13×1
1945,49,517,5·389,7·7,11·47,1,640544905,640544905,13×1
1921,301,121,17·113,7·43,11·11,1,909541633,909541633,13×1
1921,217,121,17·113,7·31,11·11,1,655716061,655716061,13×1
1465,49,781,5·293,7·7,11·71,1,728833105,728833105,13×1
1465,133,253,5·293,7·19,11·23,1,640845205,640845205,13×1
1465,217,121,5·293,7·31,11·11,1,500064565,500064565,13×1
1465,301,121,5·293,7·43,11·11,1,693637945,693637945,13×1
1465,361,121,5·293,19·19,11·11,1,831904645,831904645,13×1
1513,49,517,17·89,7·7,11·47,1,498274777,498274777,13×1
1513,49,529,17·89,7·7,23·23,1,509840149,509840149,13×1
1513,49,649,17·89,7·7,11·59,1,625493869,625493869,13×1
1513,49,781,17·89,7·7,11·71,1,752712961,752712961,13×1
1513,49,913,17·89,7·7,11·83,1,879932053,879932053,13×1
1513,133,253,17·89,7·19,11·23,1,661842181,661842181,13×1
1513,217,121,17·89,7·31,11·11,1,516448933,516448933,13×1
1513,301,121,17·89,7·43,11·11,1,716364649,716364649,13×1
1513,361,121,17·89,19·19,11·11,1,859161589,859161589,13×1
1537,49,517,29·53,7·7,11·47,1,506178673,506178673,13×1
1537,49,529,29·53,7·7,23·23,1,517927501,517927501,13×1
1537,49,649,29·53,7·7,11·59,1,635415781,635415781,13×1
1537,49,781,29·53,7·7,11·71,1,764652889,764652889,13×1
1537,49,913,29·53,7·7,11·83,1,893889997,893889997,13×1
1537,133,253,29·53,7·19,11·23,1,672340669,672340669,13×1
1465,49,913,5·293,7·7,11·83,1,852016165,852016165,13×1
1465,49,649,5·293,7·7,11·59,1,605650045,605650045,13×1
1921,133,253,17·113,7·19,11·23,1,840316477,840316477,13×1
1465,49,529,5·293,7·7,23·23,1,493665445,493665445,13×1
1345,49,913,5·269,7·7,11·83,1,782226445,782226445,13×1
1345,49,1081,5·269,7·7,23·47,1,926162965,926162965,13×1
1345,133,253,5·269,7·19,11·23,1,588352765,588352765,13×1
1345,217,121,5·269,7·31,11·11,1,459103645,459103645,13×1
1345,217,253,5·269,7·31,11·23,1,959943985,959943985,13×1
1345,301,121,5·269,7·43,11·11,1,636821185,636821185,13×1
1345,361,121,5·269,19·19,11·11,1,763762285,763762285,13×1
1345,469,121,5·269,7·67,11·11,1,992256265,992256265,13×1
1405,49,517,5·281,7·7,11·47,1,462707245,462707245,13×1
1405,49,529,5·281,7·7,23·23,1,473447065,473447065,13×1
1405,49,649,5·281,7·7,11·59,1,580845265,580845265,13×1
1405,49,781,5·281,7·7,11·71,1,698983285,698983285,13×1
1405,49,913,5·281,7·7,11·83,1,817121305,817121305,13×1
1405,49,1081,5·281,7·7,23·47,1,967478785,967478785,13×1
1405,133,253,5·281,7·19,11·23,1,614598985,614598985,13×1
1405,217,121,5·281,7·31,11·11,1,479584105,479584105,13×1
1405,301,121,5·281,7·43,11·11,1,665229565,665229565,13×1
1405,361,121,5·281,19·19,11·11,1,797833465,797833465,13×1
1465,49,517,5·293,7·7,11·47,1,482466985,482466985,13×1
1537,217,121,29·53,7·31,11·11,1,524641117,524641117,13×1
1537,301,121,29·53,7·43,11·11,1,727728001,727728001,13×1
1537,361,121,29·53,19·19,11·11,1,872790061,872790061,13×1
1585,49,517,5·317,7·7,11·47,1,521986465,521986465,13×1
1717,49,913,17·101,7·7,11·83,1,998574577,998574577,13×1
1717,133,121,17·101,7·19,11·11,1,359211853,359211853,13×1
1717,133,253,17·101,7·19,11·23,1,751079329,751079329,13×1
1717,217,121,17·101,7·31,11·11,1,586082497,586082497,13×1
1717,301,121,17·101,7·43,11·11,1,812953141,812953141,13×1
1717,361,121,17·101,19·19,11·11,1,975003601,975003601,13×1
1765,49,517,5·353,7·7,11·47,1,581265685,581265685,13×1
1765,49,529,5·353,7·7,23·23,1,594757345,594757345,13×1
1765,49,649,5·353,7·7,11·59,1,729673945,729673945,13×1
1765,49,781,5·353,7·7,11·71,1,878082205,878082205,13×1
1765,133,121,5·353,7·19,11·11,1,369253885,369253885,13×1
1765,133,253,5·353,7·19,11·23,1,772076305,772076305,13×1
1765,217,121,5·353,7·31,11·11,1,602466865,602466865,13×1
1765,301,121,5·353,7·43,11·11,1,835679845,835679845,13×1
1921,49,517,17·113,7·7,11·47,1,632641009,632641009,13×1
1921,49,529,17·113,7·7,23·23,1,647325133,647325133,13×1
1921,49,649,17·113,7·7,11·59,1,794166373,794166373,13×1
1921,49,781,17·113,7·7,11·71,1,955691737,955691737,13×1
1921,133,121,17·113,7·19,11·11,1,401890489,401890489,13×1
1717,49,781,17·101,7·7,11·71,1,854202349,854202349,13×1
1717,49,649,17·101,7·7,11·59,1,709830121,709830121,13×1
1717,49,529,17·101,7·7,23·23,1,578582641,578582641,13×1
1681,49,517,41·41,7·7,11·47,1,553602049,553602049,13×1
1585,49,529,5·317,7·7,23·23,1,534102205,534102205,13×1
1585,49,649,5·317,7·7,11·59,1,655259605,655259605,13×1
1585,49,781,5·317,7·7,11·71,1,788532745,788532745,13×1
1585,49,913,5·317,7·7,11·83,1,921805885,921805885,13×1
1585,133,253,5·317,7·19,11·23,1,693337645,693337645,13×1
1585,217,121,5·317,7·31,11·11,1,541025485,541025485,13×1
1585,301,121,5·317,7·43,11·11,1,750454705,750454705,13×1
1585,361,121,5·317,19·19,11·11,1,900047005,900047005,13×1
1681,49,529,41·41,7·7,23·23,1,566451613,566451613,13×1
1717,49,517,17·101,7·7,11·47,1,565457893,565457893,13×1
1681,49,649,41·41,7·7,11·59,1,694947253,694947253,13×1
1681,49,781,41·41,7·7,11·71,1,836292457,836292457,13×1
1681,49,913,41·41,7·7,11·83,1,977637661,977637661,13×1
1681,133,121,41·41,7·19,11·11,1,351680329,351680329,13×1
1681,133,253,41·41,7·19,11·23,1,735331597,735331597,13×1
1681,217,121,41·41,7·31,11·11,1,573794221,573794221,13×1
1681,301,121,41·41,7·43,11·11,1,795908113,795908113,13×1
1681,361,121,41·41,19·19,11·11,1,954560893,954560893,13×1
3085,49,253,5·617,7·7,11·23,1,497181685,497181685,13×1
3205,49,253,5·641,7·7,11·23,1,516521005,516521005,13×1
1345,49,649,5·269,7·7,11·59,1,556040485,556040485,13×1
7801,49,121,29·269,7·7,11·11,1,601277677,601277677,13×1
7897,49,121,53·149,7·7,11·11,1,608677069,608677069,13×1
7921,49,121,89·89,7·7,11·11,1,610526917,610526917,13×1
8005,49,121,5·1601,7·7,11·11,1,617001385,617001385,13×1
8065,49,121,5·1613,7·7,11·11,1,621626005,621626005,13×1
8077,49,121,41·197,7·7,11·11,1,622550929,622550929,13×1
8149,49,121,29·281,7·7,11·11,1,628100473,628100473,13×1
8185,49,121,5·1637,7·7,11·11,1,630875245,630875245,13×1
8485,49,121,5·1697,7·7,11·11,1,653998345,653998345,13×1
8497,49,121,29·293,7·7,11·11,1,654923269,654923269,13×1
8545,49,121,5·1709,7·7,11·11,1,658622965,658622965,13×1
8605,49,121,5·1721,7·7,11·11,1,663247585,663247585,13×1
8653,49,121,17·509,7·7,11·11,1,666947281,666947281,13×1
8665,49,121,5·1733,7·7,11·11,1,667872205,667872205,13×1
8857,49,121,17·521,7·7,11·11,1,682670989,682670989,13×1
8989,49,121,89·101,7·7,11·11,1,692845153,692845153,13×1
9169,49,121,53·173,7·7,11·11,1,706719013,706719013,13×1
9193,49,121,29·317,7·7,11·11,1,708568861,708568861,13×1
9385,49,121,5·1877,7·7,11·11,1,723367645,723367645,13×1
9445,49,121,5·1889,7·7,11·11,1,727992265,727992265,13×1
7837,49,121,17·461,7·7,11·11,1,604052449,604052449,13×1
7765,49,121,5·1553,7·7,11·11,1,598502905,598502905,13×1
9505,49,121,5·1901,7·7,11·11,1,732616885,732616885,13×1
7633,49,121,17·449,7·7,11·11,1,588328741,588328741,13×1
6109,49,121,41·149,7·7,11·11,1,470863393,470863393,13×1
6109,49,253,41·149,7·7,11·23,1,984532549,984532549,13×1
6145,49,121,5·1229,7·7,11·11,1,473638165,473638165,13×1
6145,49,253,5·1229,7·7,11·23,1,990334345,990334345,13×1
6385,49,121,5·1277,7·7,11·11,1,492136645,492136645,13×1
6445,49,121,5·1289,7·7,11·11,1,496761265,496761265,13×1
6505,49,121,5·1301,7·7,11·11,1,501385885,501385885,13×1
6613,49,121,17·389,7·7,11·11,1,509710201,509710201,13×1
6757,49,121,29·233,7·7,11·11,1,520809289,520809289,13×1
6805,49,121,5·1361,7·7,11·11,1,524508985,524508985,13×1
6817,49,121,17·401,7·7,11·11,1,525433909,525433909,13×1
6865,49,121,5·1373,7·7,11·11,1,529133605,529133605,13×1
7045,49,121,5·1409,7·7,11·11,1,543007465,543007465,13×1
7093,49,121,41·173,7·7,11·11,1,546707161,546707161,13×1
7165,49,121,5·1433,7·7,11·11,1,552256705,552256705,13×1
7261,49,121,53·137,7·7,11·11,1,559656097,559656097,13×1
7405,49,121,5·1481,7·7,11·11,1,570755185,570755185,13×1
7453,49,121,29·257,7·7,11·11,1,574454881,574454881,13×1
7465,49,121,5·1493,7·7,11·11,1,575379805,575379805,13×1
9469,49,121,17·557,7·7,11·11,1,729842113,729842113,13×1
9553,49,121,41·233,7·7,11·11,1,736316581,736316581,13×1
3205,133,121,5·641,7·19,11·11,1,670514845,670514845,13×1
11281,49,121,29·389,7·7,11·11,1,869505637,869505637,13×1
11413,49,121,101·113,7·7,11·11,1,879679801,879679801,13×1
11485,49,121,5·2297,7·7,11·11,1,885229345,885229345,13×1
11509,49,121,17·677,7·7,11·11,1,887079193,887079193,13×1
11521,49,121,41·281,7·7,11·11,1,888004117,888004117,13×1
11545,49,121,5·2309,7·7,11·11,1,889853965,889853965,13×1
11629,49,121,29·401,7·7,11·11,1,896328433,896328433,13×1
11665,49,121,5·2333,7·7,11·11,1,899103205,899103205,13×1
11785,49,121,5·2357,7·7,11·11,1,908352445,908352445,13×1
11905,49,121,5·2381,7·7,11·11,1,917601685,917601685,13×1
11917,49,121,17·701,7·7,11·11,1,918526609,918526609,13×1
11965,49,121,5·2393,7·7,11·11,1,922226305,922226305,13×1
12013,49,121,41·293,7·7,11·11,1,925926001,925926001,13×1
12085,49,121,5·2417,7·7,11·11,1,931475545,931475545,13×1
12193,49,121,89·137,7·7,11·11,1,939799861,939799861,13×1
12205,49,121,5·2441,7·7,11·11,1,940724785,940724785,13×1
12349,49,121,53·233,7·7,11·11,1,951823873,951823873,13×1
12385,49,121,5·2477,7·7,11·11,1,954598645,954598645,13×1
12745,49,121,5·2549,7·7,11·11,1,982346365,982346365,13×1
12769,49,121,113·113,7·7,11·11,1,984196213,984196213,13×1
11365,49,121,5·2273,7·7,11·11,1,875980105,875980105,13×1
11185,49,121,5·2237,7·7,11·11,1,862106245,862106245,13×1
9565,49,121,5·1913,7·7,11·11,1,737241505,737241505,13×1
11101,49,121,17·653,7·7,11·11,1,855631777,855631777,13×1
9673,49,121,17·569,7·7,11·11,1,745565821,745565821,13×1
9745,49,121,5·1949,7·7,11·11,1,751115365,751115365,13×1
9865,49,121,5·1973,7·7,11·11,1,760364605,760364605,13×1
9985,49,121,5·1997,7·7,11·11,1,769613845,769613845,13×1
10057,49,121,89·113,7·7,11·11,1,775163389,775163389,13×1
10081,49,121,17·593,7·7,11·11,1,777013237,777013237,13×1
10201,49,121,101·101,7·7,11·11,1,786262477,786262477,13×1
10237,49,121,29·353,7·7,11·11,1,789037249,789037249,13×1
10345,49,121,5·2069,7·7,11·11,1,797361565,797361565,13×1
10405,49,121,5·2081,7·7,11·11,1,801986185,801986185,13×1
10441,49,121,53·197,7·7,11·11,1,804760957,804760957,13×1
10489,49,121,17·617,7·7,11·11,1,808460653,808460653,13×1
10537,49,121,41·257,7·7,11·11,1,812160349,812160349,13×1
10645,49,121,5·2129,7·7,11·11,1,820484665,820484665,13×1
10705,49,121,5·2141,7·7,11·11,1,825109285,825109285,13×1
10765,49,121,5·2153,7·7,11·11,1,829733905,829733905,13×1
10897,49,121,17·641,7·7,11·11,1,839908069,839908069,13×1
11029,49,121,41·269,7·7,11·11,1,850082233,850082233,13×1
11065,49,121,5·2213,7·7,11·11,1,852857005,852857005,13×1
6085,49,253,5·1217,7·7,11·23,1,980664685,980664685,13×1
6085,49,121,5·1217,7·7,11·11,1,469013545,469013545,13×1
6001,49,253,17·353,7·7,11·23,1,967127161,967127161,13×1
3985,133,121,5·797,7·19,11·11,1,833697865,833697865,13×1
4045,133,121,5·809,7·19,11·11,1,846250405,846250405,13×1
4105,49,253,5·821,7·7,11·23,1,661565905,661565905,13×1
4105,133,121,5·821,7·19,11·11,1,858802945,858802945,13×1
4141,49,253,41·101,7·7,11·23,1,667367701,667367701,13×1
4141,133,121,41·101,7·19,11·11,1,866334469,866334469,13×1
4285,49,253,5·857,7·7,11·23,1,690574885,690574885,13×1
4285,133,121,5·857,7·19,11·11,1,896460565,896460565,13×1
4321,49,253,29·149,7·7,11·23,1,696376681,696376681,13×1
4321,133,121,29·149,7·19,11·11,1,903992089,903992089,13×1
4369,49,253,17·257,7·7,11·23,1,704112409,704112409,13×1
4369,133,121,17·257,7·19,11·11,1,914034121,914034121,13×1
4405,49,253,5·881,7·7,11·23,1,709914205,709914205,13×1
4405,133,121,5·881,7·19,11·11,1,921565645,921565645,13×1
4573,49,121,17·269,7·7,11·11,1,352473121,352473121,13×1
4573,49,253,17·269,7·7,11·23,1,736989253,736989253,13×1
4573,133,121,17·269,7·19,11·11,1,956712757,956712757,13×1
4633,49,121,41·113,7·7,11·11,1,357097741,357097741,13×1
4633,49,253,41·113,7·7,11·23,1,746658913,746658913,13×1
4633,133,121,41·113,7·19,11·11,1,969265297,969265297,13×1
4045,49,253,5·809,7·7,11·23,1,651896245,651896245,13×1
3985,49,253,5·797,7·7,11·23,1,642226585,642226585,13×1
6001,49,121,17·353,7·7,11·11,1,462539077,462539077,13×1
3973,133,121,29·137,7·19,11·11,1,831187357,831187357,13×1
3265,49,253,5·653,7·7,11·23,1,526190665,526190665,13×1
3265,133,121,5·653,7·19,11·11,1,683067385,683067385,13×1
3277,49,253,29·113,7·7,11·23,1,528124597,528124597,13×1
3277,133,121,29·113,7·19,11·11,1,685577893,685577893,13×1
3349,49,253,17·197,7·7,11·23,1,539728189,539728189,13×1
3349,133,121,17·197,7·19,11·11,1,700640941,700640941,13×1
3385,49,253,5·677,7·7,11·23,1,545529985,545529985,13×1
3385,133,121,5·677,7·19,11·11,1,708172465,708172465,13×1
3505,49,253,5·701,7·7,11·23,1,564869305,564869305,13×1
3505,133,121,5·701,7·19,11·11,1,733277545,733277545,13×1
3649,49,253,41·89,7·7,11·23,1,588076489,588076489,13×1
3649,133,121,41·89,7·19,11·11,1,763403641,763403641,13×1
3805,49,253,5·761,7·7,11·23,1,613217605,613217605,13×1
3805,133,121,5·761,7·19,11·11,1,796040245,796040245,13×1
3865,49,253,5·773,7·7,11·23,1,622887265,622887265,13×1
3865,133,121,5·773,7·19,11·11,1,808592785,808592785,13×1
3961,49,253,17·233,7·7,11·23,1,638358721,638358721,13×1
3961,133,121,17·233,7·19,11·11,1,828676849,828676849,13×1
3973,49,253,29·137,7·7,11·23,1,640292653,640292653,13×1
4645,49,121,5·929,7·7,11·11,1,358022665,358022665,13×1
4645,49,253,5·929,7·7,11·23,1,748592845,748592845,13×1
4645,133,121,5·929,7·19,11·11,1,971775805,971775805,13×1
4705,49,121,5·941,7·7,11·11,1,362647285,362647285,13×1
5305,49,253,5·1061,7·7,11·23,1,854959105,854959105,13×1
5353,49,121,53·101,7·7,11·11,1,412593181,412593181,13×1
5353,49,253,53·101,7·7,11·23,1,862694833,862694833,13×1
5389,49,121,17·317,7·7,11·11,1,415367953,415367953,13×1
5389,49,253,17·317,7·7,11·23,1,868496629,868496629,13×1
5485,49,121,5·1097,7·7,11·11,1,422767345,422767345,13×1
5485,49,253,5·1097,7·7,11·23,1,883968085,883968085,13×1
5545,49,121,5·1109,7·7,11·11,1,427391965,427391965,13×1
5545,49,253,5·1109,7·7,11·23,1,893637745,893637745,13×1
5617,49,121,41·137,7·7,11·11,1,432941509,432941509,13×1
5617,49,253,41·137,7·7,11·23,1,905241337,905241337,13×1
5713,49,121,29·197,7·7,11·11,1,440340901,440340901,13×1
5713,49,253,29·197,7·7,11·23,1,920712793,920712793,13×1
5905,49,121,5·1181,7·7,11·11,1,455139685,455139685,13×1
5905,49,253,5·1181,7·7,11·23,1,951655705,951655705,13×1
5965,49,121,5·1193,7·7,11·11,1,459764305,459764305,13×1
5965,49,253,5·1193,7·7,11·23,1,961325365,961325365,13×1
5989,49,121,53·113,7·7,11·11,1,461614153,461614153,13×1
5989,49,253,53·113,7·7,11·23,1,965193229,965193229,13×1
5305,49,121,5·1061,7·7,11·11,1,408893485,408893485,13×1
5245,49,253,5·1049,7·7,11·23,1,845289445,845289445,13×1
5245,49,121,5·1049,7·7,11·11,1,404268865,404268865,13×1
4777,49,121,17·281,7·7,11·11,1,368196829,368196829,13×1
4705,49,253,5·941,7·7,11·23,1,758262505,758262505,13×1
4705,133,121,5·941,7·19,11·11,1,984328345,984328345,13×1
4717,49,121,53·89,7·7,11·11,1,363572209,363572209,13×1
4717,49,253,53·89,7·7,11·23,1,760196437,760196437,13×1
4717,133,121,53·89,7·19,11·11,1,986838853,986838853,13×1
4765,49,121,5·953,7·7,11·11,1,367271905,367271905,13×1
4765,49,253,5·953,7·7,11·23,1,767932165,767932165,13×1
4765,133,121,5·953,7·19,11·11,1,996880885,996880885,13×1
4777,49,253,17·281,7·7,11·23,1,769866097,769866097,13×1
5065,49,253,5·1013,7·7,11·23,1,816280465,816280465,13×1
4777,133,121,17·281,7·19,11·11,1,999391393,999391393,13×1
4885,49,121,5·977,7·7,11·11,1,376521145,376521145,13×1
4885,49,253,5·977,7·7,11·23,1,787271485,787271485,13×1
4981,49,121,17·293,7·7,11·11,1,383920537,383920537,13×1
4981,49,253,17·293,7·7,11·23,1,802742941,802742941,13×1
5017,49,121,29·173,7·7,11·11,1,386695309,386695309,13×1
5017,49,253,29·173,7·7,11·23,1,808544737,808544737,13×1
5065,49,121,5·1013,7·7,11·11,1,390395005,390395005,13×1
1345,49,781,5·269,7·7,11·71,1,669133465,669133465,13×1
1345,49,529,5·269,7·7,23·23,1,453228685,453228685,13×1
25,49,31897,5·5,7·7,167·191,1,507959725,507959725,13×1
565,589,121,5·113,19·31,11·11,1,523470805,523470805,13×1
565,817,121,5·113,19·43,11·11,1,726104665,726104665,13×1
565,889,121,5·113,7·127,11·11,1,790094305,790094305,13×1
565,961,121,5·113,31·31,11·11,1,854083945,854083945,13×1
565,973,121,5·113,7·139,11·11,1,864748885,864748885,13×1
565,1057,121,5·113,7·151,11·11,1,939403465,939403465,13×1
25,49,28369,5·5,7·7,11·2579,1,451776325,451776325,13×1
25,49,28261,5·5,7·7,59·479,1,450056425,450056425,13×1
25,49,28153,5·5,7·7,47·599,1,448336525,448336525,13×1
25,49,28141,5·5,7·7,107·263,1,448145425,448145425,13×1
25,49,28129,5·5,7·7,23·1223,1,447954325,447954325,13×1
25,49,27973,5·5,7·7,11·2543,1,445470025,445470025,13×1
685,49,913,5·137,7·7,11·83,1,398382985,398382985,13×1
685,49,1081,5·137,7·7,23·47,1,471688945,471688945,13×1
685,49,1177,5·137,7·7,11·107,1,513578065,513578065,13×1
685,49,1357,5·137,7·7,23·59,1,592120165,592120165,13×1
685,49,1441,5·137,7·7,11·131,1,628773145,628773145,13×1
685,49,1633,5·137,7·7,23·71,1,712551385,712551385,13×1
685,49,1837,5·137,7·7,11·167,1,801565765,801565765,13×1
685,49,1909,5·137,7·7,23·83,1,832982605,832982605,13×1
565,721,121,5·113,7·103,11·11,1,640785145,640785145,13×1
565,553,121,5·113,7·79,11·11,1,491475985,491475985,13×1
685,49,2101,5·137,7·7,11·191,1,916760845,916760845,13×1
565,469,253,5·113,7·67,11·23,1,871535665,871535665,13×1
565,49,2629,5·113,7·7,11·239,1,946190245,946190245,13×1
565,49,2761,5·113,7·7,11·251,1,993697705,993697705,13×1
565,49,2773,5·113,7·7,47·59,1,998016565,998016565,13×1
25,49,29293,5·5,7·7,11·2663,1,466491025,466491025,13×1
25,49,28969,5·5,7·7,59·491,1,461331325,461331325,13×1
565,133,517,5·113,7·19,11·47,1,505049545,505049545,13×1
565,133,529,5·113,7·19,23·23,1,516772165,516772165,13×1
565,133,649,5·113,7·19,11·59,1,633998365,633998365,13×1
565,133,781,5·113,7·19,11·71,1,762947185,762947185,13×1
565,133,913,5·113,7·19,11·83,1,891896005,891896005,13×1
25,49,28957,5·5,7·7,23·1259,1,461140225,461140225,13×1
565,217,253,5·113,7·31,11·23,1,403247845,403247845,13×1
565,217,517,5·113,7·31,11·47,1,824028205,824028205,13×1
565,217,529,5·113,7·31,23·23,1,843154585,843154585,13×1
25,49,28801,5·5,7·7,83·347,1,458655925,458655925,13×1
565,301,253,5·113,7·43,11·23,1,559343785,559343785,13×1
25,49,28501,5·5,7·7,11·2591,1,453878425,453878425,13×1
565,361,253,5·113,19·19,11·23,1,670840885,670840885,13×1
