n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,logR_A,logR_B,logR_C,logR_sum,excA,excB,excC,exc_combo,sigA,sigB,sigC,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum,shell,state_key
389313925,13,5,5,7,331,11,47,29947225,25,2317,517,1.0,47.285714285714285,4.2727272727272725,0.0,3.8562082263217494,1.452252328911688,5.308460555233437,False,True,True,B+C,5·5,7·331,11·47,13 * 5 * 5 * 7 * 331 * 11 * 47,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·331 | 11·47
389434045,13,5,17,7,199,11,23,29956465,85,1393,253,3.4,28.428571428571427,2.090909090909091,1.2237754316221157,3.3473946756691793,0.7375989431307791,5.3087690504220735,True,True,True,A+B+C,5·17,7·199,11·23,13 * 5 * 17 * 7 * 199 * 11 * 23,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 7·199 | 11·23
389449753,37,17,17,7,43,11,11,10525669,289,301,121,11.56,6.142857142857143,1.0,2.4475508632442313,1.8152899666382492,0.0,4.262840829882481,True,True,False,A+B,17·17,7·43,11·11,37 * 17 * 17 * 7 * 43 * 11 * 11,4.057282976716335,14.0,0.6327503974562798,S5,17·17 | 7·43 | 11·11
389463025,601,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,0.0,0.0,1.4751978862615585,1.4751978862615585,False,False,True,C,5·5,7·7,23·23,601 * 5 * 5 * 7 * 7 * 23 * 23,3.57969837319331,124.0,0.9996672212978369,S1,5·5 | 7·7 | 23·23
389498725,61,5,5,7,31,11,107,6385225,25,217,1177,1.0,4.428571428571429,9.727272727272727,0.0,1.488077055429833,2.2749335616635356,3.763010617093369,False,True,True,B+C,5·5,7·31,11·107,61 * 5 * 5 * 7 * 31 * 11 * 107,3.0903554861863745,34.0,1.2918032786885245,S4,5·5 | 7·31 | 11·107
389631385,13,5,29,19,43,11,23,29971645,145,817,253,5.8,16.6734693877551,2.090909090909091,1.7578579175523736,2.813818796749376,0.7375989431307791,5.309275657432529,True,True,True,A+B+C,5·29,19·43,11·23,13 * 5 * 29 * 19 * 43 * 11 * 23,3.2802323907239512,18.0,1.2063660477453582,S7,5·29 | 19·43 | 11·23
389748205,181,5,17,7,7,11,47,2153305,85,49,517,3.4,1.0,4.2727272727272725,1.2237754316221157,0.0,1.452252328911688,2.6760277605338034,True,False,True,A+C,5·17,7·7,11·47,181 * 5 * 17 * 7 * 7 * 11 * 47,3.270947606470513,96.0,1.1325316867078323,S2,5·17 | 7·7 | 11·47
389968117,73,17,53,7,7,11,11,5342029,901,49,121,36.04,1.0,1.0,3.584629432740137,0.0,0.0,3.584629432740137,True,False,False,A,17·53,7·7,11·11,73 * 17 * 53 * 7 * 7 * 11 * 11,3.830339987982142,42.0,0.8282121843309564,S3,17·53 | 7·7 | 11·11
390000325,13,5,5,43,43,11,59,30000025,25,1849,649,1.0,37.734693877551024,5.363636363636363,0.0,3.6305799332764983,1.6796421711073488,5.310222104383847,False,True,True,B+C,5·5,43·43,11·59,13 * 5 * 5 * 43 * 43 * 11 * 59,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 43·43 | 11·59
390139225,61,5,5,7,7,23,227,6395725,25,49,5221,1.0,1.0,43.14876033057851,0.0,0.0,3.7646536878138113,3.7646536878138113,False,False,True,C,5·5,7·7,23·227,61 * 5 * 5 * 7 * 7 * 23 * 227,3.0903554861863745,34.0,1.2918032786885245,S4,5·5 | 7·7 | 23·227
390214825,13,5,5,7,31,11,503,30016525,25,217,5533,1.0,4.428571428571429,45.72727272727273,0.0,1.488077055429833,3.8226948973013686,5.310771952731201,False,True,True,B+C,5·5,7·31,11·503,13 * 5 * 5 * 7 * 31 * 11 * 503,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·31 | 11·503
390250861,13,17,17,7,19,11,71,30019297,289,133,781,11.56,2.7142857142857144,6.454545454545454,2.4475508632442313,0.9985288301111273,1.8647846042429448,5.310864297598304,True,True,True,A+B+C,17·17,7·19,11·71,13 * 17 * 17 * 7 * 19 * 11 * 71,3.6344290505833943,14.0,0.9321266968325792,S7,17·17 | 7·19 | 11·71
