family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5)
B,1567,2,431355925,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1579,2,434659225,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1627,2,447872425,S7,13,7,baseline,0.0,"S7×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1663,2,457782325,S8,13,7,baseline,0.0,"S8×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1699,2,467692225,S8,13,7,baseline,0.0,"S8×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1723,2,474298825,S8,13,7,baseline,0.0,"S8×1, S10×1",13×2,"5·5 | 11·11×1, 5·5 | 11·23×1"
B,1747,1,480905425,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1759,1,484208725,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1783,1,490815325,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1831,1,504028525,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1867,1,513938425,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1879,1,517241725,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1951,1,537061525,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1987,1,546971425,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,1999,1,550274725,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2011,1,553578025,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2083,1,573397825,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2131,1,586611025,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2143,1,589914325,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2179,1,599824225,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2203,1,606430825,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
