n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
3430405,97,5,643,11,1,0.3040040906291053,0.0130968697137541,0.0260293618057422,0.0009952094438171661,-0.0030526917739379066,1.6688875936810536e-05,1,0,46.61544808322666,172.89373958511294,38.229462861137534,40.4614537121522
2468305,109,5,7,647,1,0.3187264365644384,0.0132416966429028,0.0218063938874965,0.002820529634603542,-0.007519417681437164,0.001986437648139649,14,11,17.435595774162696,182.0337598501096,28.35758212267724,30.820134076080013
6699685,109,5,19,647,1,0.2984779176015157,0.0132434028611147,0.0438325293552888,0.0015126339805870024,-0.001619848067457945,0.0034752024972144933,12,10,32.51153641401772,182.0340704396908,28.403079152936005,30.86580891483582
2533465,73,5,631,11,1,0.2909752989694706,0.0138542756929332,0.0194251389587854,0.0008908379299861203,-0.0027528411485976765,-3.5557687460756546e-05,14,11,45.17742799230607,166.58049225201097,43.72643469739454,45.52002772128724
5297245,73,5,631,23,1,0.2771131748829582,0.0138577428900324,0.0293907122120281,0.003785791041897727,-0.010705765718057562,0.000853419244899255,14,11,10.63014581273465,166.58106982041176,43.70696978274921,45.496561994822855
6075745,13,5,211,443,1,0.1642112489158508,0.0140299661961791,0.038380141473993,0.0005223882719208241,-1.0388781061383543e-05,0.0015912996042516754,8,13,32.51153641401772,99.60369195835386,60.366368118496425,60.4437782047883
5095765,73,5,607,23,1,0.2778089591877255,0.0141339991342331,0.001108713779651,0.0066154529875674245,-0.009924803628557504,0.008217886148975256,8,13,6.082762530298219,161.98283206744816,55.82918699896834,58.05606120325733
2437105,73,5,607,11,1,0.2917425316204701,0.0141376659740246,0.0500503726036796,0.0009950125020190784,-0.002908122137032726,-1.7738551300145745e-05,14,11,40.44749683231337,161.982238103443,55.87140973494876,58.1034188908277
331045,13,5,463,11,1,0.2018054619023499,0.0141845162850403,0.1676157798323647,0.0004805625776259385,-0.0012921547083998377,0.0003671319812789801,14,11,35.34119409414458,99.61908690741166,50.59049762549956,50.67190219204482
1920061,13,29,463,11,1,0.1772859306957687,0.0141845220675277,0.0380754574119487,0.001157344476405605,-0.0031454817815597955,0.0008099370816101044,14,11,35.34119409414458,99.61908748345776,50.58599171892516,50.67190219204482
