Index,p1,p2,p3
662,145963,145967,145969
663,146057,146059,146063
664,146677,146681,146683
665,146983,146987,146989
666,148147,148151,148153
667,148151,148153,148157
668,148663,148667,148669
669,148721,148723,148727
670,148927,148931,148933
671,149053,149057,149059
672,149417,149419,149423
673,149623,149627,149629
674,149711,149713,149717
675,150217,150221,150223
676,150373,150377,150379
677,150377,150379,150383
678,150583,150587,150589
679,151007,151009,151013
680,151237,151241,151243
681,151241,151243,151247
682,151337,151339,151343
683,151603,151607,151609
684,151897,151901,151903
685,152077,152081,152083
686,152417,152419,152423
687,152833,152837,152839
688,152837,152839,152843
689,153067,153071,153073
690,153071,153073,153077
691,153947,153949,153953
692,154153,154157,154159
693,154871,154873,154877
694,155081,155083,155087
695,155377,155381,155383
696,155381,155383,155387
697,155717,155719,155723
698,155887,155891,155893
699,156253,156257,156259
700,156487,156491,156493
701,156677,156679,156683
702,157271,157273,157277
703,157273,157277,157279
704,157427,157429,157433
705,158227,158231,158233
706,158357,158359,158363
707,159667,159671,159673
708,159787,159791,159793
709,160087,160091,160093
710,160751,160753,160757
711,160877,160879,160883
712,162287,162289,162293
713,162523,162527,162529
714,163477,163481,163483
715,163481,163483,163487
716,163987,163991,163993
717,163991,163993,163997
718,164443,164447,164449
719,164617,164621,164623
720,164621,164623,164627
721,165311,165313,165317
722,165701,165703,165707
723,165703,165707,165709
724,165707,165709,165713
725,166297,166301,166303
726,166597,166601,166603
727,166841,166843,166847
728,166843,166847,166849
729,166847,166849,166853
730,167017,167021,167023
731,167113,167117,167119
732,167437,167441,167443
733,167621,167623,167627
734,169003,169007,169009
735,169063,169067,169069
736,170347,170351,170353
737,171043,171047,171049
738,171047,171049,171053
739,171161,171163,171167
740,171163,171167,171169
741,171467,171469,171473
742,171757,171761,171763
743,172213,172217,172219
744,172217,172219,172223
745,172421,172423,172427
746,173291,173293,173297
747,173773,173777,173779
748,173777,173779,173783
749,174257,174259,174263
750,174761,174763,174767
751,175753,175757,175759
752,176017,176021,176023
753,176047,176051,176053
754,176327,176329,176333
755,176413,176417,176419
756,176503,176507,176509
757,176921,176923,176927
758,177007,177011,177013
759,177427,177431,177433
760,177883,177887,177889
761,177887,177889,177893
762,178597,178601,178603
763,178691,178693,178697
764,178813,178817,178819
765,178903,178907,178909
