T_over_2pi,T,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order,O_order_norm
0.572,3.593981995706723,9.55875999073423,0.0034893534183931974,999,998,0.21943887775551102,0.3376753507014028,0.11823647294589179,0.21223021582733814
0.5725,3.597123588360313,9.559272105361034,0.0034893534183931974,997,996,0.22088353413654618,0.3373493975903614,0.11646586345381524,0.20863309352517984
0.573,3.600265181013903,9.559783452391738,0.0034893534183931974,1002,1001,0.22077922077922077,0.34065934065934067,0.1198801198801199,0.2135231316725979
0.5735,3.603406773667493,9.560294032976874,0.0034893534183931974,997,996,0.21987951807228914,0.33835341365461846,0.11847389558232932,0.21223021582733814
0.574,3.606548366321082,9.560803848265248,0.0034893534183931974,996,995,0.20904522613065327,0.33869346733668343,0.12964824120603016,0.23669724770642203
0.5745,3.6096899589746725,9.561312899403946,0.0034893534183931974,996,995,0.21608040201005024,0.33969849246231154,0.1236180904522613,0.22242314647377937
0.575,3.6128315516282616,9.561821187538332,0.0034893534183931974,993,992,0.2157258064516129,0.3377016129032258,0.1219758064516129,0.2204007285974499
0.5755,3.615973144281852,9.562328713812054,0.0034893534183931974,999,998,0.21643286573146292,0.342685370741483,0.12625250501002006,0.22580645161290325
0.576,3.6191147369354413,9.562835479367047,0.0034893534183931974,996,995,0.21206030150753769,0.3417085427135678,0.12964824120603013,0.23411978221415605
0.5765,3.6222563295890313,9.563341485343535,0.0034893534183931974,996,995,0.21909547738693466,0.342713567839196,0.12361809045226133,0.2200357781753131
0.577,3.625397922242621,9.56384673288003,0.0034893534183931974,1003,1002,0.22055888223552894,0.3473053892215569,0.12674650698602796,0.2231985940246046
0.5775,3.628539514896211,9.56435122311334,0.0034893534183931974,1002,1001,0.22077922077922077,0.34765234765234765,0.12687312687312688,0.2231985940246046
0.578,3.6316811075498006,9.564854957178566,0.0034893534183931974,998,997,0.21464393179538616,0.3460381143430291,0.13139418254764296,0.23434704830053674
0.5785,3.6348227002033906,9.565357936209114,0.0034893534183931974,999,998,0.21743486973947895,0.34769539078156314,0.1302605210420842,0.23049645390070925
0.579,3.63796429285698,9.565860161336683,0.0034893534183931974,999,998,0.21342685370741482,0.3486973947895792,0.13527054108216435,0.2406417112299466
0.5795,3.6411058855105702,9.566361633691283,0.0034893534183931974,998,997,0.21464393179538616,0.34804413239719156,0.1334002006018054,0.23707664884135468
0.58,3.64424747816416,9.566862354401225,0.0034893534183931974,1004,1003,0.22233300099700898,0.35294117647058826,0.13060817547357928,0.22703639514731372
