e,exc_combo,count,share
2341,B,1,0.3333333333333333
2341,C,1,0.3333333333333333
2341,grundzustand,1,0.3333333333333333
2377,B,1,0.3333333333333333
2377,C,1,0.3333333333333333
2377,grundzustand,1,0.3333333333333333
2389,B,1,0.3333333333333333
2389,C,1,0.3333333333333333
2389,grundzustand,1,0.3333333333333333
2437,B,1,0.3333333333333333
2437,C,1,0.3333333333333333
2437,grundzustand,1,0.3333333333333333
2473,B,1,0.3333333333333333
2473,C,1,0.3333333333333333
2473,grundzustand,1,0.3333333333333333
2521,C,1,0.5
2521,grundzustand,1,0.5
2557,C,1,0.5
2557,grundzustand,1,0.5
2593,C,1,0.5
2593,grundzustand,1,0.5
2617,C,1,0.5
2617,grundzustand,1,0.5
2677,C,1,0.5
2677,grundzustand,1,0.5
2689,C,1,0.5
2689,grundzustand,1,0.5
2713,C,1,0.5
2713,grundzustand,1,0.5
2749,C,1,0.5
2749,grundzustand,1,0.5
2797,C,1,0.5
2797,grundzustand,1,0.5
2833,C,1,0.5
2833,grundzustand,1,0.5
2857,C,1,0.5
2857,grundzustand,1,0.5
2917,C,1,0.5
2917,grundzustand,1,0.5
2953,C,1,0.5
2953,grundzustand,1,0.5
3001,C,1,0.5
3001,grundzustand,1,0.5
3037,C,1,0.5
3037,grundzustand,1,0.5
3049,C,1,0.5
3049,grundzustand,1,0.5
3061,C,1,0.5
3061,grundzustand,1,0.5
3109,C,1,0.5
3109,grundzustand,1,0.5
3121,C,1,0.5
3121,grundzustand,1,0.5
3169,C,1,0.5
3169,grundzustand,1,0.5
3181,C,1,0.5
3181,grundzustand,1,0.5
3217,C,1,0.5
3217,grundzustand,1,0.5
3229,grundzustand,1,1.0
3253,grundzustand,1,1.0
3301,grundzustand,1,1.0
3313,grundzustand,1,1.0
3361,grundzustand,1,1.0
3373,grundzustand,1,1.0
3433,grundzustand,1,1.0
3457,grundzustand,1,1.0
3469,grundzustand,1,1.0
3517,grundzustand,1,1.0
3529,grundzustand,1,1.0
3541,grundzustand,1,1.0
3613,grundzustand,1,1.0
3637,grundzustand,1,1.0
3673,grundzustand,1,1.0
3697,grundzustand,1,1.0
3709,grundzustand,1,1.0
3733,grundzustand,1,1.0
3769,grundzustand,1,1.0
3793,grundzustand,1,1.0
3853,grundzustand,1,1.0
3877,grundzustand,1,1.0
3889,grundzustand,1,1.0
4021,grundzustand,1,1.0
4057,grundzustand,1,1.0
4093,grundzustand,1,1.0
4129,grundzustand,1,1.0
4153,grundzustand,1,1.0
4177,grundzustand,1,1.0
4201,grundzustand,1,1.0
4261,grundzustand,1,1.0
4273,grundzustand,1,1.0
4297,grundzustand,1,1.0
4357,grundzustand,1,1.0
4441,grundzustand,1,1.0
4513,grundzustand,1,1.0
4549,grundzustand,1,1.0
4561,grundzustand,1,1.0
4597,grundzustand,1,1.0
4621,grundzustand,1,1.0
4657,grundzustand,1,1.0
4729,grundzustand,1,1.0
4789,grundzustand,1,1.0
4801,grundzustand,1,1.0
4813,grundzustand,1,1.0
4861,grundzustand,1,1.0
4909,grundzustand,1,1.0
4933,grundzustand,1,1.0
4957,grundzustand,1,1.0
4969,grundzustand,1,1.0
4993,grundzustand,1,1.0
5077,grundzustand,1,1.0
5101,grundzustand,1,1.0
5113,grundzustand,1,1.0
5197,grundzustand,1,1.0
5209,grundzustand,1,1.0
5233,grundzustand,1,1.0
5281,grundzustand,1,1.0
5413,grundzustand,1,1.0
5437,grundzustand,1,1.0
5449,grundzustand,1,1.0
5521,grundzustand,1,1.0
5557,grundzustand,1,1.0
5569,grundzustand,1,1.0
5581,grundzustand,1,1.0
5641,grundzustand,1,1.0
5653,grundzustand,1,1.0
5689,grundzustand,1,1.0
5701,grundzustand,1,1.0
5737,grundzustand,1,1.0
5749,grundzustand,1,1.0
5821,grundzustand,1,1.0
5857,grundzustand,1,1.0
5869,grundzustand,1,1.0
5881,grundzustand,1,1.0
5953,grundzustand,1,1.0
6037,grundzustand,1,1.0
6073,grundzustand,1,1.0
6121,grundzustand,1,1.0
6133,grundzustand,1,1.0
6217,grundzustand,1,1.0
6229,grundzustand,1,1.0
6277,grundzustand,1,1.0
6301,grundzustand,1,1.0
6337,grundzustand,1,1.0
6361,grundzustand,1,1.0
6373,grundzustand,1,1.0
6397,grundzustand,1,1.0
6421,grundzustand,1,1.0
6469,grundzustand,1,1.0
6481,grundzustand,1,1.0
6529,grundzustand,1,1.0
6553,grundzustand,1,1.0
6577,grundzustand,1,1.0
6637,grundzustand,1,1.0
6661,grundzustand,1,1.0
6673,grundzustand,1,1.0
6709,grundzustand,1,1.0
6733,grundzustand,1,1.0
