N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
186;b;31;1;1;0;-3.2475186741180444;2.6179938779914944;6.277330340225504;1.0;1.0;1.0;3.4657359027997265;0.267153206506161;0.267153206506161;0.9258824593364717;0.37747323924033305;-0.32690141443092946;0.1887366196201665;1.6770089286896537;1.6770089286896537;5.81207005347544
187;b;187;0;0;0;-5.717454693781148;1.0471975511965976;6.283730355395939;1.0;0.0;0.0;5.236441962829949;0.0;0.0;1.0;0.1799211808542312;0.08996059042711561;0.15581631329865858;0.0;0.0;6.283730355395939
188;c;47;2;0;0;-3.614245833259026;2.6179938779914944;6.290096418071571;1.0;2.0;0.0;3.871201010907891;0.45899821987191075;0.0;0.8884371863865317;0.338147276207134;-0.29284413141589133;0.16907363810356696;2.8871430587175335;0.0;5.588355563771508
189;b;7;0;3;0;-0.9887376758697961;4.1887902047863905;6.296428886592583;1.0;0.0;3.0;2.0794415416798357;0.0;0.8218691629851074;0.5696762931122893;0.7433254543652136;-0.3716627271826071;-0.6437387267598852;0.0;5.174840738819098;3.5869262679592016
190;c;19;1;0;1;-2.2277594896833244;3.665191429188092;6.302728113655956;1.0;1.0;0.0;3.995732273553991;0.24277940940332077;0.0;0.970081521507226;0.5125649486606902;-0.44389426662962445;-0.25628247433034496;1.530172609063099;0.0;6.1141600781417385
191;c;191;0;0;0;-5.476733356630756;1.5707963267948966;6.308994446433338;1.0;0.0;0.0;5.2574953720277815;0.0;0.0;1.0;0.19339510490946685;1.1842034809907258e-17;0.19339510490946685;0.0;0.0;6.308994446433338
192;e;1;6;1;0;1.032568223249778;4.1887902047863905;6.315228226685862;1.0;6.0;1.0;0.6931471805599453;0.9800513577441702;0.1633418929573617;0.11321997257071964;1.3631121989548367;-0.6815560994774189;-1.1804897925033562;6.1892479980277875;1.0315413330046312;0.7150099666032078
193;e;193;0;0;0;-5.60931404944499;0.0;6.321429790875993;1.0;0.0;0.0;5.267858159063328;0.0;0.0;1.0;0.18585393400392586;0.18585393400392586;0.0;0.0;0.0;6.321429790875993
194;e;97;1;0;0;-4.646592870246264;0.5235987755982988;6.327599470276496;1.0;1.0;0.0;4.584967478670572;0.21309455013361955;0.0;0.9770315822445815;0.24808648566901065;0.21484919892496732;0.12404324283450531;1.3483769625442994;0.0;6.182264522254221
195;a;13;0;1;1;-1.8302363124082108;3.141592653589793;6.33373759107662;1.0;0.0;1.0;3.6390573296152584;0.0;0.2649739949420785;0.9642555584514073;0.5774861071709129;-0.5774861071709129;7.072165126989238e-17;0.0;1.6782757524223888;6.107341677968257
196;e;49;2;0;0;-3.773832020248579;1.0471975511965976;6.339844474485586;1.0;2.0;0.0;3.912023005428146;0.45520518075442523;0.0;0.8903865696506945;0.322339607974518;0.16116980398725902;0.2791542891518496;2.8859300499631555;0.0;5.6449123737561315
197;a;197;0;0;0;-5.71954174539274;0.5235987755982988;6.345920436833442;1.0;0.0;0.0;5.288267030694535;0.0;0.0;1.0;0.17980856467613815;0.15571878482755291;0.08990428233806906;0.0;0.0;6.345920436833442
