n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,Excitation,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
84149065,13,5,17,7,43,11,23,6473005,85,301,253,3.4,6.142857142857143,2.090909090909091,A+B+C-multi,13 * 5 * 17 * 7 * 43 * 11 * 23,3.4157601047094523,12.0,1.0968325791855205
84329245,13,5,29,7,7,11,83,6486865,145,49,913,5.8,1.0,7.545454545454546,A+C-multi,13 * 5 * 29 * 7 * 7 * 11 * 83,3.2802323907239512,18.0,1.2063660477453582
84483025,37,5,5,19,19,11,23,2283325,25,361,253,1.0,7.36734693877551,2.090909090909091,B+C-multi,37 * 5 * 5 * 19 * 19 * 11 * 23,3.6199450849684505,10.0,0.9621621621621622
84509425,13,5,5,7,307,11,11,6500725,25,2149,121,1.0,43.857142857142854,1.0,B-excitation,13 * 5 * 5 * 7 * 307 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
84749665,13,5,41,7,7,11,59,6519205,205,49,649,8.2,1.0,5.363636363636363,A+C-multi,13 * 5 * 41 * 7 * 7 * 11 * 59,2.9859978256127633,28.0,1.349343339587242
85110025,13,5,5,7,19,11,179,6546925,25,133,1969,1.0,2.7142857142857144,16.272727272727273,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 179,3.19709115883551,10.0,1.2615384615384615
85525825,577,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,577 * 5 * 5 * 7 * 7 * 11 * 11,3.7434511832844892,28.0,0.8415944540727903
85849225,277,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,277 * 5 * 5 * 7 * 7 * 11 * 23,3.2137562825494506,130.0,1.2548736462093864
86010925,13,5,5,7,7,11,491,6616225,25,49,5401,1.0,1.0,44.63636363636363,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 491,3.19709115883551,10.0,1.2615384615384615
86338945,37,5,29,7,19,11,11,2333485,145,133,121,5.8,2.7142857142857144,1.0,A+B-multi,37 * 5 * 29 * 7 * 19 * 11 * 11,3.7030863168568917,18.0,0.9069897483690588
86525425,37,5,5,7,7,23,83,2338525,25,49,1909,1.0,1.0,15.776859504132231,C-excitation,37 * 5 * 5 * 7 * 7 * 23 * 83,3.6199450849684505,10.0,0.9621621621621622
86542225,61,5,5,7,67,11,11,1418725,25,469,121,1.0,9.571428571428571,1.0,B-excitation,61 * 5 * 5 * 7 * 67 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
86657725,109,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,109 * 5 * 5 * 7 * 7 * 11 * 59,3.4936369679052106,34.0,1.075229357798165
86911825,13,5,5,7,151,11,23,6685525,25,1057,253,1.0,21.571428571428573,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 151 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
87272185,13,5,53,7,7,11,47,6713245,265,49,517,10.6,1.0,4.2727272727272725,A+C-multi,13 * 5 * 53 * 7 * 7 * 11 * 47,3.382439108831205,22.0,1.125689404934688
87539725,13,5,5,7,7,23,239,6733825,25,49,5497,1.0,1.0,45.429752066115704,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 239,3.19709115883551,10.0,1.2615384615384615
87951325,61,5,5,7,7,11,107,1441825,25,49,1177,1.0,1.0,9.727272727272727,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 107,3.0903554861863745,34.0,1.2918032786885245
88113025,13,5,5,7,7,11,503,6777925,25,49,5533,1.0,1.0,45.72727272727273,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 503,3.19709115883551,10.0,1.2615384615384615
88320925,97,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,97 * 5 * 5 * 7 * 43 * 11 * 11,3.366869432803848,40.0,1.1711340206185568
88418785,13,5,17,7,7,23,71,6801445,85,49,1633,3.4,1.0,13.49586776859504,A+C-multi,13 * 5 * 17 * 7 * 7 * 23 * 71,3.4157601047094523,12.0,1.0968325791855205
88727485,73,5,41,7,7,11,11,1215445,205,49,121,8.2,1.0,1.0,A-excitation,73 * 5 * 41 * 7 * 7 * 11 * 11,3.215229758889759,46.0,1.2165720013364516
89083225,601,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,601 * 5 * 5 * 7 * 7 * 11 * 11,3.57969837319331,124.0,0.9996672212978369
89244925,37,5,5,7,7,11,179,2412025,25,49,1969,1.0,1.0,16.272727272727273,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 179,3.6199450849684505,10.0,0.9621621621621622
89297845,13,5,53,7,7,23,23,6869065,265,49,529,10.6,1.0,4.371900826446281,A+C-multi,13 * 5 * 53 * 7 * 7 * 23 * 23,3.382439108831205,22.0,1.125689404934688
89314225,13,5,5,7,43,11,83,6870325,25,301,913,1.0,6.142857142857143,7.545454545454546,B+C-multi,13 * 5 * 5 * 7 * 43 * 11 * 83,3.19709115883551,10.0,1.2615384615384615
89674585,13,5,41,7,19,11,23,6898045,205,133,253,8.2,2.7142857142857144,2.090909090909091,A+B+C-multi,13 * 5 * 41 * 7 * 19 * 11 * 23,2.9859978256127633,28.0,1.349343339587242
89794705,13,5,233,7,7,11,11,6907285,1165,49,121,46.6,1.0,1.0,A-excitation,13 * 5 * 233 * 7 * 7 * 11 * 11,3.109083785307769,112.0,1.3078903928689338
90455365,13,5,53,7,31,11,11,6958105,265,217,121,10.6,4.428571428571429,1.0,A+B-multi,13 * 5 * 53 * 7 * 31 * 11 * 11,3.382439108831205,22.0,1.125689404934688
90815725,13,5,5,7,19,11,191,6985825,25,133,2101,1.0,2.7142857142857144,17.363636363636363,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 191,3.19709115883551,10.0,1.2615384615384615
90861925,613,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,613 * 5 * 5 * 7 * 7 * 11 * 11,3.028259256824389,310.0,1.299184339314845
91055965,13,5,113,7,7,11,23,7004305,565,49,253,22.6,1.0,2.090909090909091,A+C-multi,13 * 5 * 113 * 7 * 7 * 11 * 23,2.9419087682146916,64.0,1.3571136827773995
91116025,13,5,5,7,331,11,11,7008925,25,2317,121,1.0,47.285714285714285,1.0,B-excitation,13 * 5 * 5 * 7 * 331 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
91217665,181,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,181 * 5 * 17 * 7 * 7 * 11 * 11,3.270947606470513,96.0,1.1325316867078323
91442725,37,5,5,19,43,11,11,2471425,25,817,121,1.0,16.6734693877551,1.0,B-excitation,37 * 5 * 5 * 19 * 43 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
91630825,13,5,5,19,19,11,71,7048525,25,361,781,1.0,7.36734693877551,6.454545454545454,B+C-multi,13 * 5 * 5 * 19 * 19 * 11 * 71,3.19709115883551,10.0,1.2615384615384615
91644553,13,29,41,7,7,11,11,7049581,1189,49,121,47.56,1.0,1.0,A-excitation,13 * 29 * 41 * 7 * 7 * 11 * 11,3.0691390575012045,36.0,1.2941709257941385
91693525,109,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,109 * 5 * 5 * 7 * 19 * 11 * 23,3.4936369679052106,34.0,1.075229357798165
91935025,13,5,5,7,7,23,251,7071925,25,49,5773,1.0,1.0,47.710743801652896,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 251,3.19709115883551,10.0,1.2615384615384615
92132425,229,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,229 * 5 * 5 * 7 * 19 * 11 * 11,3.6525422300864037,34.0,0.9310043668122271
92802325,97,5,5,7,7,11,71,956725,25,49,781,1.0,1.0,6.454545454545454,C-excitation,97 * 5 * 5 * 7 * 7 * 11 * 71,3.366869432803848,40.0,1.1711340206185568
92917825,13,5,5,7,79,11,47,7147525,25,553,517,1.0,11.285714285714286,4.2727272727272725,B+C-multi,13 * 5 * 5 * 7 * 79 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
93098005,13,5,89,7,19,11,11,7161385,445,133,121,17.8,2.7142857142857144,1.0,A+B-multi,13 * 5 * 89 * 7 * 19 * 11 * 11,3.1021394524927537,48.0,1.3109766637856526
93707845,109,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,109 * 5 * 29 * 7 * 7 * 11 * 11,3.576778199793652,42.0,1.0200569440050617
93818725,13,5,5,7,163,11,23,7216825,25,1141,253,1.0,23.285714285714285,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 163 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
93846025,13,5,5,7,7,71,83,7218925,25,49,5893,1.0,1.0,48.70247933884298,C-excitation,13 * 5 * 5 * 7 * 7 * 71 * 83,3.19709115883551,10.0,1.2615384615384615
94031245,37,5,41,7,7,11,23,2541385,205,49,253,8.2,1.0,2.090909090909091,A+C-multi,37 * 5 * 41 * 7 * 7 * 11 * 23,3.408851751745704,28.0,1.0499670402109427
94891225,13,5,5,19,127,11,11,7299325,25,2413,121,1.0,49.244897959183675,1.0,B-excitation,13 * 5 * 5 * 19 * 127 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
95074525,13,5,5,7,79,23,23,7313425,25,553,529,1.0,11.285714285714286,4.371900826446281,B+C-multi,13 * 5 * 5 * 7 * 79 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
95176081,13,17,17,7,7,11,47,7321237,289,49,517,11.56,1.0,4.2727272727272725,A+C-multi,13 * 17 * 17 * 7 * 7 * 11 * 47,3.6344290505833943,14.0,0.9321266968325792
95227825,37,5,5,7,7,11,191,2573725,25,49,2101,1.0,1.0,17.363636363636363,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 191,3.6199450849684505,10.0,0.9621621621621622
95380285,13,5,17,7,19,11,59,7336945,85,133,649,3.4,2.7142857142857144,5.363636363636363,A+B+C-multi,13 * 5 * 17 * 7 * 19 * 11 * 59,3.4157601047094523,12.0,1.0968325791855205
95484025,13,5,5,7,19,47,47,7344925,25,133,2209,1.0,2.7142857142857144,18.25619834710744,B+C-multi,13 * 5 * 5 * 7 * 19 * 47 * 47,3.19709115883551,10.0,1.2615384615384615
95702425,13,5,5,7,31,23,59,7361725,25,217,1357,1.0,4.428571428571429,11.214876033057852,B+C-multi,13 * 5 * 5 * 7 * 31 * 23 * 59,3.19709115883551,10.0,1.2615384615384615
95842285,61,5,53,7,7,11,11,1571185,265,49,121,10.6,1.0,1.0,A-excitation,61 * 5 * 53 * 7 * 7 * 11 * 11,3.275703436182069,46.0,1.155954222084751
96082525,37,5,5,7,19,11,71,2596825,25,133,781,1.0,2.7142857142857144,6.454545454545454,B+C-multi,37 * 5 * 5 * 7 * 19 * 11 * 71,3.6199450849684505,10.0,0.9621621621621622
96306925,13,5,5,31,79,11,11,7408225,25,2449,121,1.0,49.97959183673469,1.0,B-excitation,13 * 5 * 5 * 31 * 79 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
96330325,13,5,5,7,7,23,263,7410025,25,49,6049,1.0,1.0,49.99173553719008,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 263,3.19709115883551,10.0,1.2615384615384615
96401305,13,5,17,7,103,11,11,7415485,85,721,121,3.4,14.714285714285714,1.0,A+B-multi,13 * 5 * 17 * 7 * 103 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
96668425,73,5,5,7,7,23,47,1324225,25,49,1081,1.0,1.0,8.933884297520661,C-excitation,73 * 5 * 5 * 7 * 7 * 23 * 47,3.426323092112505,28.0,1.1287671232876713
96960325,241,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,241 * 5 * 5 * 7 * 19 * 11 * 11,3.5244913706357366,64.0,1.0489626556016598
97006525,313,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,313 * 5 * 5 * 7 * 7 * 11 * 23,3.0396742861089194,160.0,1.2984025559105432
97061965,13,5,41,7,43,11,11,7466305,205,301,121,8.2,6.142857142857143,1.0,A+B-multi,13 * 5 * 41 * 7 * 43 * 11 * 11,2.9859978256127633,28.0,1.349343339587242
97265245,193,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,193 * 5 * 17 * 7 * 7 * 11 * 11,3.47568825983066,90.0,1.0705272782688204
97385197,13,17,17,7,7,23,23,7491169,289,49,529,11.56,1.0,4.371900826446281,A+C-multi,13 * 17 * 17 * 7 * 7 * 23 * 23,3.6344290505833943,14.0,0.9321266968325792
97620985,37,5,89,7,7,11,11,2638405,445,49,121,17.8,1.0,1.0,A-excitation,37 * 5 * 89 * 7 * 7 * 11 * 11,3.524993378625694,48.0,1.0116003644093532
97976725,661,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,661 * 5 * 5 * 7 * 7 * 11 * 11,3.5495487816622138,154.0,1.026928895612708
98050225,13,5,5,7,7,47,131,7542325,25,49,6157,1.0,1.0,50.88429752066116,C-excitation,13 * 5 * 5 * 7 * 7 * 47 * 131,3.19709115883551,10.0,1.2615384615384615
98623525,13,5,5,7,7,11,563,7586425,25,49,6193,1.0,1.0,51.18181818181818,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 563,3.19709115883551,10.0,1.2615384615384615
98647549,13,17,17,7,31,11,11,7588273,289,217,121,11.56,4.428571428571429,1.0,A+B-multi,13 * 17 * 17 * 7 * 31 * 11 * 11,3.6344290505833943,14.0,0.9321266968325792
98923825,13,5,5,7,67,11,59,7609525,25,469,649,1.0,9.571428571428571,5.363636363636363,B+C-multi,13 * 5 * 5 * 7 * 67 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
98966725,13,5,5,19,31,11,47,7612825,25,589,517,1.0,12.020408163265307,4.2727272727272725,B+C-multi,13 * 5 * 5 * 19 * 31 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
99043945,13,5,257,7,7,11,11,7618765,1285,49,121,51.4,1.0,1.0,A-excitation,13 * 5 * 257 * 7 * 7 * 11 * 11,3.598319957840359,24.0,0.923795270876983
99247225,109,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,109 * 5 * 5 * 7 * 43 * 11 * 11,3.4936369679052106,34.0,1.075229357798165
99432025,157,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,157 * 5 * 5 * 7 * 7 * 11 * 47,3.2857470407029474,70.0,1.2203821656050957
99464365,13,5,17,7,7,11,167,7651105,85,49,1837,3.4,1.0,15.181818181818182,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 167,3.4157601047094523,12.0,1.0968325791855205
99501325,37,5,5,7,127,11,11,2689225,25,889,121,1.0,18.142857142857142,1.0,B-excitation,37 * 5 * 5 * 7 * 127 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
99755425,673,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,673 * 5 * 5 * 7 * 7 * 11 * 11,3.304206482187742,280.0,1.210104011887073
99846565,13,5,29,7,7,23,47,7680505,145,49,1081,5.8,1.0,8.933884297520661,A+C-multi,13 * 5 * 29 * 7 * 7 * 23 * 47,3.2802323907239512,18.0,1.2063660477453582
99857065,73,5,17,7,19,11,11,1367905,85,133,121,3.4,2.7142857142857144,1.0,A+B-multi,73 * 5 * 17 * 7 * 19 * 11 * 11,3.644992037986447,30.0,0.96406124093473
