A-Paar,C-Paar,count,p(joint),p(A-Paar),p(C-Paar),lift
5·101,11·71,3,0.0003532736693358455,0.011069241639189827,0.030617051342439944,1.0423895253682487
5·17,11·59,43,0.005063589260480453,0.12317475270843146,0.03944889307583608,1.0420821323592366
5·5,11·131,70,0.008243052284503062,0.5693593970796044,0.013895430993876589,1.0419084009605104
5·113,23·71,1,0.00011775788977861517,0.009420631182289214,0.012011304757418746,1.040686274509804
5·17,23·47,22,0.0025906735751295338,0.12317475270843146,0.02025435704192181,1.0384187825158966
5·17,23·71,13,0.0015308525671219972,0.12317475270843146,0.012011304757418746,1.034716754770742
5·41,23·71,4,0.0004710315591144607,0.0380357983984927,0.012011304757418746,1.0310204577186912
17·53,11·83,1,0.00011775788977861517,0.004592557701365992,0.02508243052284503,1.0222703743830504
5·41,11·59,13,0.0015308525671219972,0.0380357983984927,0.03944889307583608,1.020248602190287
17·29,23·83,1,0.00011775788977861517,0.011422515308525671,0.010127178520960905,1.0179812994485733
5·29,11·179,5,0.0005887894488930759,0.06064531323598681,0.009538389072067829,1.0178592832314515
17·17,11·179,2,0.00023551577955723034,0.024258125294394726,0.009538389072067829,1.0178592832314515
5·5,11·107,88,0.010362694300518135,0.5693593970796044,0.017899199246349504,1.0168399281554454
5·89,11·191,1,0.00011775788977861517,0.013306641544983514,0.008714083843617522,1.0155465199712987
5·5,23·47,99,0.011658031088082901,0.5693593970796044,0.02025435704192181,1.01092806810803
17·29,11·71,3,0.0003532736693358455,0.011422515308525671,0.030617051342439944,1.0101506740681998
5·29,11·83,13,0.0015308525671219972,0.06064531323598681,0.02508243052284503,1.0063904462372943
17·41,23·23,3,0.0003532736693358455,0.00706547338671691,0.049811587376354216,1.0037825059101655
5·101,11·167,1,0.00011775788977861517,0.011069241639189827,0.010598210080075365,1.0037825059101655
5·53,11·191,2,0.00023551577955723034,0.026966556759302873,0.008714083843617522,1.0022424170895787
17·17,23·59,3,0.0003532736693358455,0.024258125294394726,0.014719736222326895,0.9893592233009708
5·137,23·23,3,0.0003532736693358455,0.007183231276495525,0.049811587376354216,0.9873270549936054
17·41,11·47,3,0.0003532736693358455,0.00706547338671691,0.051224682053697596,0.9760919540229887
5·41,11·179,3,0.0003532736693358455,0.0380357983984927,0.009538389072067829,0.9737415434009862
5·5,11·83,118,0.013895430993876589,0.5693593970796044,0.02508243052284503,0.9730068796092654
17·29,11·167,1,0.00011775788977861517,0.011422515308525671,0.010598210080075365,0.9727376861397481
5·17,11·23,126,0.01483749411210551,0.12317475270843146,0.12388130004710315,0.9723734814502467
5·5,11·59,183,0.021549693829486575,0.5693593970796044,0.03944889307583608,0.9594443501211625
17·17,23·83,2,0.00023551577955723034,0.024258125294394726,0.010127178520960905,0.9586814179272972
5·17,11·11,298,0.03509185115402732,0.12317475270843146,0.29898728214790393,0.952866073196942
5·5,11·71,141,0.01660386245878474,0.5693593970796044,0.030617051342439944,0.9524874711637897
5·113,11·59,3,0.0003532736693358455,0.009420631182289214,0.03944889307583608,0.9505970149253732
5·149,23·47,1,0.00011775788977861517,0.006123410268487989,0.02025435704192181,0.949463327370304
5·173,11·83,1,0.00011775788977861517,0.004945831370701837,0.02508243052284503,0.9492510619271183
5·53,11·131,3,0.0003532736693358455,0.026966556759302873,0.013895430993876589,0.9427873584486715
17·41,11·107,1,0.00011775788977861517,0.00706547338671691,0.017899199246349504,0.931140350877193
5·89,11·179,1,0.00011775788977861517,0.013306641544983514,0.009538389072067829,0.9277832404676063
5·41,23·83,3,0.0003532736693358455,0.0380357983984927,0.010127178520960905,0.9171286629706962
