n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
2254897,73,17,79,23,1,21084.324369459584,0.00346228784573907,0.039669905604601596,0.0033276278475209225,0.0072973525693,0.45600480666375776
1749541,61,29,43,23,1,19080.78716331536,0.0031969330970411085,0.04006774897772053,0.0033276278475209225,0.0072973525693,0.45600480666375776
1820545,61,5,127,47,1,17609.28110441584,0.0034640823573827305,0.04018807360059,0.0033276278475209225,0.0072973525693,0.45600480666375776
4835785,109,5,19,467,1,31438.008488186584,0.0034671407395592112,0.0410705678825351,0.0033276278475209225,0.0072973525693,0.45600480666375776
5293585,109,5,883,11,1,34135.52782183261,0.003193154081838603,0.0412505233397205,0.0033276278475209225,0.0072973525693,0.45600480666375776
7796149,157,17,127,23,1,45250.33585494685,0.0034695875076656804,0.04177602097821334,0.0033276278475209225,0.0072973525693,0.45600480666375776
9199729,157,761,7,11,1,49197.83918613328,0.003191197064692456,0.0418635902473907,0.0033276278475209225,0.0072973525693,0.45600480666375776
1909117,61,17,7,263,1,19129.985755980444,0.00318871120857631,0.042642866730835005,0.0033276278475209225,0.0072973525693,0.45600480666375776
8472505,157,5,43,251,1,45196.056485298686,0.0034737543982641217,0.04297627617380489,0.0033276278475209225,0.0072973525693,0.45600480666375776
7752817,157,113,19,23,1,45191.079130815255,0.0034741369982675095,0.04308641030859166,0.0033276278475209225,0.0072973525693,0.45600480666375776
3760981,97,29,7,191,1,27920.15297065885,0.0034741929996564423,0.04310252968949362,0.0033276278475209225,0.0072973525693,0.45600480666375776
3788917,97,53,67,11,1,30447.839536642296,0.0031857761166688313,0.04356375400071044,0.0033276278475209225,0.0072973525693,0.45600480666375776
4264189,109,29,19,71,1,31357.843661211507,0.0034760043189713636,0.043623757871339486,0.0033276278475209225,0.0072973525693,0.45600480666375776
8606269,157,41,7,191,1,49289.211833720256,0.003185281203717514,0.043719116894944295,0.0033276278475209225,0.0072973525693,0.45600480666375776
4656589,109,17,7,359,1,31348.911349250742,0.0034769947442722013,0.04390864941196179,0.0033276278475209225,0.0072973525693,0.45600480666375776
8755105,157,5,19,587,1,45120.082707267706,0.0034796035507867378,0.04465867306610468,0.0033276278475209225,0.0072973525693,0.45600480666375776
4588573,109,89,43,11,1,34257.861844718434,0.0031817514033440656,0.044827891092568434,0.0033276278475209225,0.0072973525693,0.45600480666375776
2656105,73,5,19,383,1,22969.773538546953,0.0031780896697781685,0.04597940853723906,0.0033276278475209225,0.0072973525693,0.45600480666375776
4013569,97,257,7,23,1,30528.904950198877,0.0031773167153631597,0.04622265165089011,0.0033276278475209225,0.0072973525693,0.45600480666375776
4390705,97,5,823,11,1,30556.310022808062,0.003174467071698008,0.04711992522060579,0.0033276278475209225,0.0072973525693,0.45600480666375776
8949157,157,17,7,479,1,49485.18088608608,0.003172666992193298,0.04768713540865313,0.0033276278475209225,0.0072973525693,0.45600480666375776
4914265,109,5,127,71,1,34402.106208517085,0.0031684106589094357,0.04902959931062284,0.0033276278475209225,0.0072973525693,0.45600480666375776
9075385,157,5,1051,11,1,44892.60918421294,0.0034972349091086257,0.04971293824849421,0.0033276278475209225,0.0072973525693,0.45600480666375776
2021845,61,5,7,947,1,17427.029951383203,0.0035003095863250272,0.05059172577639919,0.0033276278475209225,0.0072973525693,0.45600480666375776
3971665,97,5,19,431,1,27691.263533389407,0.003502909857581613,0.05133431892142508,0.0033276278475209225,0.0072973525693,0.45600480666375776
8148457,157,17,43,71,1,49677.050454060125,0.0031604130793793602,0.05155695166481848,0.0033276278475209225,0.0072973525693,0.45600480666375776
4775617,109,569,7,11,1,31103.300307236736,0.0035044512615479335,0.051774257427512085,0.0033276278475209225,0.0072973525693,0.45600480666375776
4606885,109,5,79,107,1,31049.859183296066,0.003510482909327939,0.0534939169765528,0.0033276278475209225,0.0072973525693,0.45600480666375776
4750765,109,5,379,23,1,31048.94306419583,0.0035105864883914076,0.053523422186545266,0.0033276278475209225,0.0072973525693,0.45600480666375776
149149,13,149,7,11,1,3701.658095214519,0.0035119396944861873,0.053908812308643556,0.0033276278475209225,0.0072973525693,0.45600480666375776
5215105,109,5,7,1367,1,31022.813355454004,0.0035135433640752353,0.05436534166143915,0.0033276278475209225,0.0072973525693,0.45600480666375776
3772621,97,89,19,23,1,30779.86090949097,0.003151411251832202,0.054409323080131765,0.0033276278475209225,0.0072973525693,0.45600480666375776
9697105,157,5,1123,11,1,49819.42168935411,0.0031513814226701324,0.054418788459562925,0.0033276278475209225,0.0072973525693,0.45600480666375776
882265,37,5,19,251,1,11745.359647986063,0.0031501802506613127,0.0548000184103705,0.0033276278475209225,0.0072973525693,0.45600480666375776
4612117,109,17,19,131,1,34601.564762008355,0.0031501465540564005,0.05481071519038107,0.0033276278475209225,0.0072973525693,0.45600480666375776
2774365,73,5,691,11,1,23200.023307907162,0.0031465485629542335,0.055953534217473254,0.0033276278475209225,0.0072973525693,0.45600480666375776
2489665,73,5,19,359,1,20731.21671688815,0.0035212597985400653,0.056559130849624134,0.0033276278475209225,0.0072973525693,0.45600480666375776
2373157,73,29,19,59,1,23232.412195699333,0.003142161880784527,0.057348631963007546,0.0033276278475209225,0.0072973525693,0.45600480666375776
2590405,73,5,151,47,1,23234.063618944987,0.0031419385432204816,0.057419712165127236,0.0033276278475209225,0.0072973525693,0.45600480666375776
2581645,73,5,643,11,1,20710.15826894313,0.0035248402765453756,0.05757543157636233,0.0033276278475209225,0.0072973525693,0.45600480666375776
4967893,109,17,7,383,1,34733.96685808999,0.003138138538720132,0.05862988997490149,0.0033276278475209225,0.0072973525693,0.45600480666375776
1722457,61,17,151,11,1,17268.90229372008,0.0035323611751618368,0.05970684344412949,0.0033276278475209225,0.0072973525693,0.45600480666375776
8065561,157,41,7,179,1,44440.81146931474,0.0035327887770097207,0.059827888815084315,0.0033276278475209225,0.0072973525693,0.45600480666375776
9537433,181,29,79,23,1,51213.48155291592,0.003534225647459316,0.06023453025745063,0.0033276278475209225,0.0072973525693,0.45600480666375776
9487477,181,53,43,23,1,51189.82892122972,0.0035358586620502404,0.06069648079395772,0.0033276278475209225,0.0072973525693,0.45600480666375776
1873249,61,41,7,107,1,19493.676845372283,0.003129219822605254,0.06147597651439201,0.0033276278475209225,0.0072973525693,0.45600480666375776
2393305,73,5,79,83,1,20628.390237706233,0.0035388122465593425,0.061531455231314834,0.0033276278475209225,0.0072973525693,0.45600480666375776
2076745,61,5,619,11,1,19503.911242102608,0.0031275778095380593,0.06200084984462591,0.0033276278475209225,0.0072973525693,0.45600480666375776
4239337,109,89,19,23,1,30779.86090949097,0.0035412765613372166,0.06222758064562901,0.0033276278475209225,0.0072973525693,0.45600480666375776
4640965,97,5,7,1367,1,31022.813355454004,0.0031267312505990625,0.06227156206432165,0.0033276278475209225,0.0072973525693,0.45600480666375776
1859341,61,17,163,11,1,19514.857188257087,0.0031258235410867507,0.06256191042556937,0.0033276278475209225,0.0072973525693,0.45600480666375776
161785,13,5,19,131,1,4159.822866588357,0.003125133068625549,0.06278282780097945,0.0033276278475209225,0.0072973525693,0.45600480666375776
4227745,97,5,379,23,1,31048.94306419583,0.0031240999025134546,0.06311348153921553,0.0033276278475209225,0.0072973525693,0.45600480666375776
4099705,97,5,79,107,1,31049.859183296066,0.003124007726649634,0.06314298674920805,0.0033276278475209225,0.0072973525693,0.45600480666375776
1985245,61,5,283,23,1,19535.012219955126,0.0031225985073962815,0.06359418191805954,0.0033276278475209225,0.0072973525693,0.45600480666375776
8274685,157,5,127,83,1,44271.82820973831,0.003546273247542673,0.06363757060492642,0.0033276278475209225,0.0072973525693,0.45600480666375776
9763321,181,17,19,167,1,51029.02627564391,0.0035470008583407178,0.06384272573913836,0.0033276278475209225,0.0072973525693,0.45600480666375776
8391493,157,113,43,11,1,50297.48997338177,0.0031214281285822988,0.06396906142960601,0.0033276278475209225,0.0072973525693,0.45600480666375776
2175565,61,5,7,1019,1,19555.511342588154,0.0031193252342705913,0.06464298467862092,0.0033276278475209225,0.0072973525693,0.45600480666375776
4249861,97,569,7,11,1,31103.300307236736,0.0031186401134876106,0.06486264629824873,0.0033276278475209225,0.0072973525693,0.45600480666375776
8444245,157,5,31,347,1,44210.8710769504,0.00355116278362253,0.06501540249574463,0.0033276278475209225,0.0072973525693,0.45600480666375776
884485,37,5,7,683,1,10416.447321474889,0.003552074796530636,0.06527219044710506,0.0033276278475209225,0.0072973525693,0.45600480666375776
1915705,61,5,571,11,1,17171.015295310746,0.0035524981459109507,0.065391367034986,0.0033276278475209225,0.0072973525693,0.45600480666375776
862285,37,5,79,59,1,11876.022950660674,0.0031155210926854648,0.06586326882283129,0.0033276278475209225,0.0072973525693,0.45600480666375776
9344797,157,773,7,11,1,50425.44677065243,0.0031135073669069377,0.06650983059783107,0.0033276278475209225,0.0072973525693,0.45600480666375776
174265,13,5,7,383,1,4175.740333635088,0.003113220401969576,0.06660200258549981,0.0033276278475209225,0.0072973525693,0.45600480666375776
4274305,97,5,7,1259,1,27263.25181729745,0.0035579028008118005,0.06691157833733363,0.0033276278475209225,0.0072973525693,0.45600480666375776
962185,37,5,7,743,1,11894.751718908648,0.0031106155785649956,0.06743905020848215,0.0033276278475209225,0.0072973525693,0.45600480666375776
8971765,157,5,1039,11,1,44089.52259812153,0.0035609367202966515,0.06776394188887586,0.0033276278475209225,0.0072973525693,0.45600480666375776
8922781,157,353,7,23,1,50530.269575489,0.0031070485338585423,0.0685864409434247,0.0033276278475209225,0.0072973525693,0.45600480666375776
1805905,61,5,31,191,1,17108.254651254592,0.003565530280175407,0.06905309695396739,0.0033276278475209225,0.0072973525693,0.45600480666375776
