n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score,u_a,u_b,u_c,u_d,v_a,v_b,v_c,v_d
5888245,709,5,151,11,1,0.0071148752017313,0.0152264337341651,0.0011718458928544578,0.014970493387043465,0,9,9,9,22.26961270196506,16.905230629250077,17.481118841858358,0.004612011316830533,0,0,0,0,-0.002167966564267749,-0.005027839568335114,0.0059430293088768415,0.0002559403471216349,194.0396772812718,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
7469665,457,5,7,467,1,0.0249193919954259,0.0125674207998329,0.0011918607288016014,0.01256742079983322,9,9,0,0,22.711098036922813,14.449143420274574,17.955246740626468,0.13999122123231622,160,0,0,0,0.003959518729216044,-0.0007264456655787529,0.0237275312666243,-3.191891195797325e-16,1027.5895388968884,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.5
6356185,709,5,163,11,1,0.0067827594187715,0.0204521289894165,0.00127294544111375,0.02040780572808223,8,8,9,9,13.599033829916202,17.65290588393492,17.739591004883618,0.0057039608522782,0,0,0,0,0.01034042981978898,-0.003215547435957792,0.0055098139776577505,4.432326133426909e-05,155.49267189337218,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
9603061,13,41,43,419,1,0.1459645261408516,0.1992009196557772,0.0013291477028712338,0.02086377864316482,8,9,8,0,70.9380006963142,68.29433991028624,44.93379652690312,0.6037182233938202,96,96,32,0,0.0007337688476842727,-0.001674460789049581,0.14463537843798036,0.17833714101261236,282.17924386476847,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
6792409,13,29,43,419,1,0.1492381812546968,0.1177749280875525,0.0013291488565183522,0.030134104310626218,8,9,8,9,18.92713917581563,18.92713917581563,44.93279573354442,0.637498763275314,96,96,0,0,-0.001305777856768111,-0.001305777856768111,0.14790903239817843,0.08764082377692628,267.22679196175176,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
1171105,13,5,43,419,1,0.1455916586677645,0.0585612172161184,0.0013291548113633673,0.02114110182931607,8,9,9,8,18.9289135735786,14.053943004138631,44.93613530448565,0.6042326251762775,96,96,32,0,0.0004848137807548951,-0.0009803622840005679,0.14426250385640113,0.03742011538680233,281.9388395067607,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
7575061,13,29,283,71,1,0.8203547714434866,0.7819830392509897,0.0013491730235694254,0.037022559168927396,0,9,0,9,89.87074634551027,89.87074634551027,44.85138921974555,0.524397163183674,160,160,0,0,-0.0030081543717792258,-0.0030081543717792258,0.8190055984199172,0.7449604800820623,539.361140491149,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
4440553,13,17,283,71,1,0.8203547961462874,0.8162811117168193,0.0013491778249594586,0.0027245066045092883,0,9,0,9,89.87396594006812,89.87396594006812,44.855908809574686,0.5244383865355362,160,160,0,0,-0.0019581255633737012,-0.0019581255633737012,0.8190056183213279,0.81355660511231,539.3185160561675,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
1306045,13,5,283,71,1,0.8203548020819569,0.8996110493643505,0.0013491789786528759,0.0806054262610463,0,9,0,9,89.87634754757433,89.87634754757433,44.85942726066774,0.5244674506009261,160,160,0,0,-0.00135855326231557,-0.00135855326231557,0.819005623103304,0.8190056231033043,539.2885742350683,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
2870569,13,17,31,419,1,0.1492745058999427,0.1741174812718431,0.0013561713355523376,0.006813741668053644,8,9,9,9,18.570563412329697,17.846031617811757,44.9346171011607,0.6401678328475993,96,96,0,0,-0.0007879213722773096,0.000946016235780702,0.14791833456439038,0.16730373960378944,265.47941157758,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
7760005,709,5,199,11,1,0.0044898283189493,0.0354035365082461,0.0013860730689093446,0.03525306489030133,8,8,9,9,14.316972042426457,18.21551494887517,18.585397981311136,0.010808312546429666,0,0,0,0,0.010097472285182183,-0.006089063793114695,0.003103755250039955,0.00015047161794476405,81.25085860736536,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
8949421,13,53,31,419,1,0.1493893157181799,0.1005471160516828,0.0014415768723607012,0.047400622794136905,8,9,8,9,18.91066813161221,18.91066813161221,44.92338923647654,0.639149526483083,96,96,0,0,-0.0010041848188789718,-0.0010041848188789718,0.1479477388458192,0.0531464932575459,263.917552596036,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
