window,n_start,n_end,metric,corr_local_detrended_theta_log12,mean_metric,mean_theta_log12
75,75001,76000,Lambda,-0.11086309303729586,0.3329874975894109,0.0021391237503903997
76,76001,77000,r,0.19131203866194055,0.03208475893736056,0.002145915302159985
76,76001,77000,Delta,-0.19132438608116684,0.9843497939354795,0.002145915302159985
76,76001,77000,Lambda,-0.19120411917349536,0.332990188983925,0.002145915302159985
77,77001,78000,r,0.4303557740152898,0.03196127129371635,0.002012000756045781
77,77001,78000,Delta,-0.4303418548086823,0.984408501558819,0.002012000756045781
77,77001,78000,Lambda,-0.43047794500731285,0.3329928252958516,0.002012000756045781
78,78001,79000,r,-0.12208394879996386,0.03183981457393394,0.0010994478231779634
78,78001,79000,Delta,0.12206270293418449,0.9844662553361482,0.0010994478231779634
78,78001,79000,Lambda,0.12227129607426993,0.3329954083328898,0.0010994478231779634
79,79001,80000,r,0.5881815911559051,0.0317203302124511,0.00039997774141840614
79,79001,80000,Delta,-0.5881756995621188,0.9845230825411727,0.00039997774141840614
79,79001,80000,Lambda,-0.588233744802431,0.33299793982690135,0.00039997774141840614
80,80001,81000,r,-0.5758537225729053,0.03160276176982393,0.0016134415496886255
80,80001,81000,Delta,0.5758364402503445,0.9845790094676411,0.0016134415496886255
80,80001,81000,Lambda,0.5760074463577921,0.33300042143833974,0.0016134415496886255
81,81001,82000,r,-0.20190342154068808,0.031487055947627476,0.0028400276276969567
81,81001,82000,Delta,0.20190473271962767,0.9846340609445161,0.0028400276276969567
81,81001,82000,Lambda,0.20189170374278154,0.3330028547365501,0.0028400276276969567
82,82001,83000,r,-0.2917689685249861,0.031373160592477536,0.0035024425860477517
82,82001,83000,Delta,0.29179369979250175,0.9846882612836593,0.0035024425860477517
82,82001,83000,Lambda,0.2915470418038112,0.3330052412434127,0.0035024425860477517
83,83001,84000,r,-0.7497916182808237,0.031261026200453255,0.0034210286627978496
83,83001,84000,Delta,0.7497910202772696,0.9847416335624396,0.0034210286627978496
83,83001,84000,Lambda,0.7497969772787507,0.3330075824030556,0.0034210286627978496
84,84001,85000,r,-0.7954308375954109,0.03115060480761196,0.003238489455424504
84,84001,85000,Delta,0.7954285860014969,0.9847942001500565,0.003238489455424504
84,84001,85000,Lambda,0.7954511679253085,0.33300987960649997,0.003238489455424504
85,85001,86000,r,-0.056762460131438236,0.031041850845035877,0.003252050329240185
85,85001,86000,Delta,0.056785289709861186,0.9848459822990305,0.003252050329240185
85,85001,86000,Lambda,0.05655504868444635,0.3330121341751019,0.003252050329240185
86,86001,87000,r,0.20964618082252054,0.030934719919854095,0.0036087028622080364
86,86001,87000,Delta,-0.20964936612824367,0.9848970007241098,0.0036087028622080364
86,86001,87000,Lambda,-0.20961711738937516,0.333014347387087,0.0036087028622080364
