sector_S,sector_support,sector_type,log_mB,C_fam,kappa13,log_mult
"(0, 0, 0, 1)",1,C,8.683215975240689,0.0,0.1505151853629489,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.687273461787838,0.0,0.15045798350042597,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.68929604801586,0.0,0.15042948566010395,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.697345730925353,0.0,0.15031617447582335,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.701346403039162,0.0,0.15025992279388087,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.707317560273212,0.0,0.1501760435228231,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.707648248106914,0.0,0.150171400962326,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.721113147762688,0.0,0.14998261015095557,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.723068501163928,0.0,0.14995523381639517,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.72534492491121,0.0,0.14992337489882523,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.731174900938061,0.0,0.3833259117285077,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.732788324973118,0.0,0.14981929806135208,2.1972245773362196
"(0, 0, 0, 1)",1,C,8.742414582525413,0.0,0.1382979610687489,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.74623928838306,0.0,0.13824796264343106,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.74814616962193,0.0,0.13822304849904393,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.75004942158424,0.0,0.1381981907495535,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.750366278367625,0.0,0.13819405325753986,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.751949058058614,0.0,0.13817338915881233,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.757626411267408,0.0,0.13809931899912364,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.772920092626467,0.0,0.3735372412103722,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.778171881033469,0.0,0.13783193466922802,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.787372988731876,0.0,0.13771252525166247,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.789203094473724,0.0,0.1376887993795724,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.793156870913819,0.0,0.37280394121793803,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.794673401383422,0.0,0.13761793002731304,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.803724602110622,0.0,0.1375008297120494,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.81269461292015,0.0,0.13738497677008624,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.821584877430965,0.0,0.13727034678740418,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.823353485113792,0.0,0.13724756544645197,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.825118970345061,0.0,0.1372248318862561,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.82864061741828,0.0,0.13717950736721404,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.833899942908635,0.0,0.13711187434092934,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.837681215593197,0.0,0.13706328984611316,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.839131752546109,0.0,0.1370446614710628,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.840869624091395,0.0,0.13702234971470462,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.846065190692881,0.0,0.13695568957771936,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.84779106484485,0.0,0.1369335606614871,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.849513965486398,0.0,0.13691147702174888,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.851233902846035,0.0,0.13688943848700524,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.856376036730422,0.0,0.1368235918118906,2.0794415416798357
"(0, 0, 0, 1)",1,C,8.85978949474541,0.0,0.13677991645153703,2.0794415416798357
