A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
5·53,19·43,3,0.0003532736693358455,0.026966556759302873,0.011893546867640131,1.1014743395736954
5·113,7·31,6,0.000706547338671691,0.009420631182289214,0.06818181818181818,1.1
5·29,7·127,6,0.000706547338671691,0.06064531323598681,0.010598210080075365,1.0992880258899678
5·41,7·199,2,0.00023551577955723034,0.0380357983984927,0.005652378709373528,1.0954592363261093
17·17,7·43,10,0.0011775788977861517,0.024258125294394726,0.04439472444653792,1.093456259174371
5·17,7·67,29,0.0034149788035798398,0.12317475270843146,0.025435704192180875,1.0899900856879825
5·41,7·31,24,0.002826189354686764,0.0380357983984927,0.06818181818181818,1.0897832817337463
5·41,7·19,45,0.0052991050400376825,0.0380357983984927,0.12823834196891193,1.0864058542077117
5·29,19·19,20,0.0023551577955723034,0.06064531323598681,0.03579839849269901,1.0848237097598366
5·17,7·31,77,0.009067357512953367,0.12317475270843146,0.06818181818181818,1.0796685787125557
5·17,7·79,23,0.0027084314649081487,0.12317475270843146,0.020372114931700425,1.0793443782535173
5·149,19·19,2,0.00023551577955723034,0.006123410268487989,0.03579839849269901,1.0743927125506074
5·89,7·151,1,0.00011775788977861517,0.013306641544983514,0.008243052284503062,1.0735777496839443
5·5,7·67,132,0.015544041450777202,0.5693593970796044,0.025435704192180875,1.0733310352751924
5·173,7·43,2,0.00023551577955723034,0.004945831370701837,0.04439472444653792,1.072628520904383
5·29,7·67,14,0.0016486104569006124,0.06064531323598681,0.025435704192180875,1.0687522473930242
5·17,19·19,40,0.004710315591144607,0.12317475270843146,0.03579839849269901,1.068229848042669
17·29,31·31,1,0.00011775788977861517,0.011422515308525671,0.009656146961846444,1.0676389238119186
17·29,7·139,1,0.00011775788977861517,0.011422515308525671,0.009656146961846444,1.0676389238119186
29·29,7·79,1,0.00011775788977861517,0.0054168629298162975,0.020372114931700425,1.0671022870067857
5·41,7·79,7,0.0008243052284503062,0.0380357983984927,0.020372114931700425,1.0637985647559907
5·197,7·67,1,0.00011775788977861517,0.004357041921808761,0.025435704192180875,1.0625625625625628
5·53,7·151,2,0.00023551577955723034,0.026966556759302873,0.008243052284503062,1.0595134123518402
5·17,7·43,49,0.005770136599152143,0.12317475270843146,0.04439472444653792,1.0551957437959942
5·29,7·31,37,0.004357041921808761,0.06064531323598681,0.06818181818181818,1.0537216828478966
5·113,19·43,1,0.00011775788977861517,0.009420631182289214,0.011893546867640131,1.050990099009901
5·29,7·43,24,0.002826189354686764,0.06064531323598681,0.04439472444653792,1.049718008807396
5·173,7·31,3,0.0003532736693358455,0.004945831370701837,0.06818181818181818,1.0476190476190477
5·17,7·103,16,0.0018841262364578427,0.12317475270843146,0.01460197833254828,1.0475544316289398
5·113,19·19,3,0.0003532736693358455,0.009420631182289214,0.03579839849269901,1.0475328947368423
5·101,7·79,2,0.00023551577955723034,0.011069241639189827,0.020372114931700425,1.0443979830279178
5·89,7·67,3,0.0003532736693358455,0.013306641544983514,0.025435704192180875,1.043756145526057
5·29,19·31,10,0.0011775788977861517,0.06064531323598681,0.018605746585021198,1.043627872680349
5·29,7·7,233,0.027437588318417333,0.06064531323598681,0.4347621290626472,1.0406315413015808
5·149,19·31,1,0.00011775788977861517,0.006123410268487989,0.018605746585021198,1.0335929892891917
5·41,31·43,2,0.00023551577955723034,0.0380357983984927,0.006005652378709373,1.0310204577186912
5·29,7·199,3,0.0003532736693358455,0.06064531323598681,0.005652378709373528,1.0305825242718445
5·53,7·67,6,0.000706547338671691,0.026966556759302873,0.025435704192180875,1.030082484230956
5·5,19·19,178,0.0209609043805935,0.5693593970796044,0.03579839849269901,1.02839492733903
5·53,7·31,16,0.0018841262364578427,0.026966556759302873,0.06818181818181818,1.024745269286754
5·17,7·19,137,0.016132830899670277,0.12317475270843146,0.12823834196891193,1.021341522297545
5·5,7·43,219,0.02578897786151672,0.5693593970796044,0.04439472444653792,1.0202727130587914
17·29,7·79,2,0.00023551577955723034,0.011422515308525671,0.020372114931700425,1.0120970144806627
17·53,7·67,1,0.00011775788977861517,0.004592557701365992,0.025435704192180875,1.0080721747388415
5·29,31·31,5,0.0005887894488930759,0.06064531323598681,0.009656146961846444,1.005446365143263
5·29,7·139,5,0.0005887894488930759,0.06064531323598681,0.009656146961846444,1.005446365143263
17·17,31·31,2,0.00023551577955723034,0.024258125294394726,0.009656146961846444,1.005446365143263
17·17,7·139,2,0.00023551577955723034,0.024258125294394726,0.009656146961846444,1.005446365143263
5·101,7·127,1,0.00011775788977861517,0.011069241639189827,0.010598210080075365,1.0037825059101655
5·41,19·31,6,0.000706547338671691,0.0380357983984927,0.018605746585021198,0.998393228044049
17·17,7·103,3,0.0003532736693358455,0.024258125294394726,0.01460197833254828,0.9973379267146885
5·41,19·67,2,0.00023551577955723034,0.0380357983984927,0.006241168158266604,0.9921140253519481
5·113,7·67,2,0.00023551577955723034,0.009420631182289214,0.025435704192180875,0.9828703703703704
5·5,7·31,324,0.038153556288271315,0.5693593970796044,0.06818181818181818,0.9828335056876939
17·17,19·79,1,0.00011775788977861517,0.024258125294394726,0.004945831370701837,0.9815071659731854
29·29,7·43,2,0.00023551577955723034,0.0054168629298162975,0.04439472444653792,0.9793564756083497
29·41,7·19,3,0.0003532736693358455,0.002826189354686764,0.12823834196891193,0.9747474747474746
