state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|1,0,0;0;1,0,1,2>",1,0,0,0,1,0,1,2,4,2,21.2,False,False
"|0,0,0;1;0,2,0,1>",0,0,0,1,0,2,0,1,3,5,21.200000000000003,False,False
"|0,1,0;1;2,1,0,0>",0,1,0,1,2,1,0,0,3,5,21.200000000000003,False,False
"|0,1,0;0;0,2,0,1>",0,1,0,0,0,2,0,1,3,5,21.299999999999997,False,False
"|0,0,0;1;0,1,2,1>",0,0,0,1,0,1,2,1,4,2,21.3,False,False
"|0,1,0;1;1,2,1,0>",0,1,0,1,1,2,1,0,4,2,21.3,False,False
"|0,1,0;1;2,1,0,1>",0,1,0,1,2,1,0,1,4,2,21.3,False,False
"|1,0,0;1;1,2,0,0>",1,0,0,1,1,2,0,0,3,5,21.3,False,False
"|0,0,1;1;0,1,1,1>",0,0,1,1,0,1,1,1,3,1,21.300000000000004,False,False
"|0,1,0;0;0,1,2,1>",0,1,0,0,0,1,2,1,4,2,21.4,False,False
"|0,1,0;0;1,0,1,2>",0,1,0,0,1,0,1,2,4,2,21.4,False,False
"|1,0,0;1;1,1,2,0>",1,0,0,1,1,1,2,0,4,2,21.4,False,False
"|0,1,0;1;1,2,0,0>",0,1,0,1,1,2,0,0,3,5,21.5,False,False
"|0,1,0;1;1,1,2,0>",0,1,0,1,1,1,2,0,4,2,21.6,False,False
"|0,0,0;0;2,1,1,0>",0,0,0,0,2,1,1,0,4,4,21.7,False,False
"|1,0,0;0;0,0,2,1>",1,0,0,0,0,0,2,1,3,5,21.7,False,False
"|1,0,0;0;0,1,0,2>",1,0,0,0,0,1,0,2,3,5,21.7,False,False
"|0,0,0;0;3,0,0,1>",0,0,0,0,3,0,0,1,4,4,21.700000000000003,False,False
"|0,0,0;1;0,1,0,2>",0,0,0,1,0,1,0,2,3,5,21.8,False,False
"|0,1,0;0;0,0,2,1>",0,1,0,0,0,0,2,1,3,5,21.9,False,False
"|0,1,0;0;0,1,0,2>",0,1,0,0,0,1,0,2,3,5,21.9,False,False
"|1,0,0;0;0,0,1,2>",1,0,0,0,0,0,1,2,3,5,22.0,False,False
"|1,0,0;1;0,2,1,1>",1,0,0,1,0,2,1,1,4,2,22.0,False,False
"|1,0,0;1;1,1,0,2>",1,0,0,1,1,1,0,2,4,2,22.0,False,False
"|0,1,0;0;0,0,1,2>",0,1,0,0,0,0,1,2,3,5,22.2,False,False
"|0,1,0;1;0,2,1,1>",0,1,0,1,0,2,1,1,4,2,22.200000000000003,False,False
"|0,1,0;1;1,1,0,2>",0,1,0,1,1,1,0,2,4,2,22.200000000000003,False,False
"|1,0,0;1;0,2,0,1>",1,0,0,1,0,2,0,1,3,5,22.200000000000003,False,False
"|0,0,0;0;1,2,0,1>",0,0,0,0,1,2,0,1,4,4,22.299999999999997,False,False
"|0,0,0;0;0,3,1,0>",0,0,0,0,0,3,1,0,4,4,22.3,False,False
"|1,0,0;1;0,1,2,1>",1,0,0,1,0,1,2,1,4,2,22.3,False,False
"|0,0,1;0;0,2,2,0>",0,0,1,0,0,2,2,0,4,0,22.4,False,False
"|0,0,1;0;1,1,1,1>",0,0,1,0,1,1,1,1,4,0,22.4,True,True
"|0,0,1;0;2,0,0,2>",0,0,1,0,2,0,0,2,4,0,22.4,False,False
"|0,1,0;1;0,2,0,1>",0,1,0,1,0,2,0,1,3,5,22.4,False,False
"|0,1,0;1;0,1,2,1>",0,1,0,1,0,1,2,1,4,2,22.5,False,False
"|1,0,0;0;2,1,1,0>",1,0,0,0,2,1,1,0,4,4,22.7,False,False
"|1,0,0;0;3,0,0,1>",1,0,0,0,3,0,0,1,4,4,22.700000000000003,False,False
"|0,0,0;1;2,1,1,0>",0,0,0,1,2,1,1,0,4,4,22.8,False,False
"|1,0,0;1;0,1,0,2>",1,0,0,1,0,1,0,2,3,5,22.8,False,False
"|0,0,0;0;0,1,3,0>",0,0,0,0,0,1,3,0,4,4,22.9,False,False
"|0,0,0;0;1,0,2,1>",0,0,0,0,1,0,2,1,4,4,22.9,False,False
"|0,1,0;0;2,1,1,0>",0,1,0,0,2,1,1,0,4,4,22.9,False,False
"|0,1,0;0;3,0,0,1>",0,1,0,0,3,0,0,1,4,4,22.9,False,False
"|0,1,0;1;0,1,0,2>",0,1,0,1,0,1,0,2,3,5,23.0,False,False
"|1,0,0;0;1,2,0,1>",1,0,0,0,1,2,0,1,4,4,23.299999999999997,False,False
"|1,0,0;0;0,3,1,0>",1,0,0,0,0,3,1,0,4,4,23.3,False,False
"|0,0,0;1;1,2,0,1>",0,0,0,1,1,2,0,1,4,4,23.4,False,False
"|0,0,0;1;0,3,1,0>",0,0,0,1,0,3,1,0,4,4,23.400000000000002,False,False
"|0,0,0;0;0,1,1,2>",0,0,0,0,0,1,1,2,4,4,23.5,False,False
"|0,0,0;0;1,0,0,3>",0,0,0,0,1,0,0,3,4,4,23.5,False,False
"|0,0,1;1;0,2,2,0>",0,0,1,1,0,2,2,0,4,0,23.5,False,False
"|0,0,1;1;1,1,1,1>",0,0,1,1,1,1,1,1,4,0,23.5,True,True
"|0,1,0;0;0,3,1,0>",0,1,0,0,0,3,1,0,4,4,23.5,False,False
"|0,1,0;0;1,2,0,1>",0,1,0,0,1,2,0,1,4,4,23.5,False,False
"|1,0,0;1;2,1,1,0>",1,0,0,1,2,1,1,0,4,4,23.8,False,False
"|1,0,0;0;0,1,3,0>",1,0,0,0,0,1,3,0,4,4,23.9,False,False
"|1,0,0;0;1,0,2,1>",1,0,0,0,1,0,2,1,4,4,23.9,False,False
"|0,0,0;1;0,1,3,0>",0,0,0,1,0,1,3,0,4,4,24.0,False,False
"|0,1,0;1;2,1,1,0>",0,1,0,1,2,1,1,0,4,4,24.0,False,False
"|0,1,0;0;0,1,3,0>",0,1,0,0,0,1,3,0,4,4,24.099999999999998,False,False
"|0,1,0;0;1,0,2,1>",0,1,0,0,1,0,2,1,4,4,24.1,False,False
"|1,0,0;1;1,2,0,1>",1,0,0,1,1,2,0,1,4,4,24.4,False,False
"|1,0,0;1;0,3,1,0>",1,0,0,1,0,3,1,0,4,4,24.400000000000002,False,False
"|1,0,0;0;0,1,1,2>",1,0,0,0,0,1,1,2,4,4,24.5,False,False
"|1,0,0;0;1,0,0,3>",1,0,0,0,1,0,0,3,4,4,24.5,False,False
"|0,0,0;0;3,0,0,0>",0,0,0,0,3,0,0,0,3,9,24.6,False,False
"|0,0,0;1;0,1,1,2>",0,0,0,1,0,1,1,2,4,4,24.6,False,False
"|0,1,0;1;0,3,1,0>",0,1,0,1,0,3,1,0,4,4,24.6,False,False
"|0,1,0;1;1,2,0,1>",0,1,0,1,1,2,0,1,4,4,24.6,False,False
"|0,0,1;0;2,1,0,0>",0,0,1,0,2,1,0,0,3,5,24.7,False,False
"|0,1,0;0;0,1,1,2>",0,1,0,0,0,1,1,2,4,4,24.7,False,False
"|0,1,0;0;1,0,0,3>",0,1,0,0,1,0,0,3,4,4,24.7,False,False
"|0,0,1;0;2,1,0,1>",0,0,1,0,2,1,0,1,4,2,24.799999999999997,False,False
"|0,0,1;0;1,2,1,0>",0,0,1,0,1,2,1,0,4,2,24.8,False,False
"|0,0,1;0;1,2,0,0>",0,0,1,0,1,2,0,0,3,5,25.0,False,False
"|0,0,1;0;2,0,1,0>",0,0,1,0,2,0,1,0,3,5,25.0,False,False
"|1,0,0;1;0,1,3,0>",1,0,0,1,0,1,3,0,4,4,25.0,False,False
"|0,0,1;0;1,1,2,0>",0,0,1,0,1,1,2,0,4,2,25.1,False,False
"|0,0,1;0;2,0,1,1>",0,0,1,0,2,0,1,1,4,2,25.1,False,False
"|0,1,0;1;0,1,3,0>",0,1,0,1,0,1,3,0,4,4,25.2,False,False
"|0,0,0;0;0,3,0,0>",0,0,0,0,0,3,0,0,3,9,25.5,False,False
"|0,0,1;0;1,0,2,0>",0,0,1,0,1,0,2,0,3,5,25.6,False,False
"|1,0,0;0;3,0,0,0>",1,0,0,0,3,0,0,0,3,9,25.6,False,False
"|1,0,0;1;0,1,1,2>",1,0,0,1,0,1,1,2,4,4,25.6,False,False
"|0,0,1;0;1,1,0,2>",0,0,1,0,1,1,0,2,4,2,25.7,False,False
"|0,0,1;0;0,2,1,1>",0,0,1,0,0,2,1,1,4,2,25.700000000000003,False,False
"|0,0,1;1;2,1,0,0>",0,0,1,1,2,1,0,0,3,5,25.8,False,False
"|0,1,0;0;3,0,0,0>",0,1,0,0,3,0,0,0,3,9,25.8,False,False
"|0,1,0;1;0,1,1,2>",0,1,0,1,0,1,1,2,4,4,25.8,False,False
"|0,0,1;0;0,2,0,1>",0,0,1,0,0,2,0,1,3,5,25.9,False,False
"|0,0,1;1;2,1,0,1>",0,0,1,1,2,1,0,1,4,2,25.9,False,False
