Omega,P_E,P_A,P_B,P_C,P_total
1.5377380888404073,26895.311469648568,27888.293535065786,27224.32647370986,27555.13231644014,109563.06379486436
1.5500319935511306,26895.30041647982,27888.28219396827,27224.315661389228,27555.118387297432,109563.01665913475
1.5623258982618538,26895.289275300205,27888.270762566644,27224.30476297495,27555.10434724464,109562.96914808644
1.574619802972577,26895.278046109874,27888.259240861003,27224.293778467192,27555.09019628194,109562.92126172001
1.5869137076833004,26895.266728908937,27888.247628851474,27224.282707866016,27555.075934409502,109562.87300003592
1.5992076123940235,26895.25532369754,27888.235926538164,27224.271551171558,27555.06156162752,109562.82436303477
1.6115015171047469,26895.243830475763,27888.224133921165,27224.26030838392,27555.04707793613,109562.77535071698
1.6237954218154702,26895.232249243774,27888.212251000623,27224.24897950322,27555.032483335544,109562.72596308315
1.6360893265261933,26895.22058000168,27888.20027777665,27224.237564529565,27555.017777825924,109562.67620013382
1.6483832312369167,26895.20882274963,27888.18821424934,27224.226063463047,27555.002961407463,109562.62606186948
1.66067713594764,26895.19697748773,27888.17606041883,27224.214476303812,27554.988034080314,109562.57554829068
1.672971040658363,26895.185044216127,27888.163816285232,27224.20280305196,27554.972995844702,109562.52465939801
1.6852649453690864,26895.17302293495,27888.151481848654,27224.191043707615,27554.957846700774,109562.47339519198
1.6975588500798098,26895.160913644326,27888.139057109234,27224.179198270882,27554.942586648733,109562.42175567317
1.709852754790533,26895.148716344374,27888.126542067082,27224.16726674189,27554.92721568876,109562.3697408421
1.7221466595012562,26895.13643103526,27888.113936722315,27224.15524912074,27554.911733821045,109562.31735069936
1.7344405642119796,26895.124057717112,27888.10124107506,27224.143145407557,27554.896141045774,109562.2645852455
1.7467344689227027,26895.111596390052,27888.088455125453,27224.130955602468,27554.880437363157,109562.21144448113
1.759028373633426,26895.099047054213,27888.0755788736,27224.1186797056,27554.86462277335,109562.15792840677
1.7713222783441491,26895.086409709762,27888.06261231962,27224.106317717058,27554.848697276568,109562.104037023
1.7836161830548725,26895.073684356812,27888.04955546366,27224.093869636974,27554.83266087301,109562.04977033046
1.7959100877655958,26895.060870995516,27888.03640830584,27224.08133546546,27554.81651356287,109561.99512832968
1.808203992476319,26895.047969626004,27888.0231708463,27224.06871520265,27554.800255346338,109561.94011102131
1.8204978971870422,26895.03498024843,27888.009843085136,27224.056008848675,27554.78388622361,109561.88471840585
1.8327918018977656,26895.02190286293,27887.996425022495,27224.043216403647,27554.767406194893,109561.82895048396
1.8450857066084887,26895.008737469667,27887.982916658508,27224.03033786769,27554.7508152604,109561.77280725626
1.857379611319212,26894.995484068757,27887.969317993302,27224.017373240946,27554.734113420312,109561.71628872333
1.8696735160299354,26894.982142660356,27887.955629027016,27224.004322523535,27554.717300674845,109561.65939488576
1.8819674207406585,26894.968713244623,27887.94184975977,27223.991185715593,27554.700377024208,109561.60212574419
1.8942613254513818,26894.9551958217,27887.927980191726,27223.977962817233,27554.683342468583,109561.54448129924
1.9065552301621052,26894.941590391718,27887.914020322998,27223.964653828603,27554.666197008206,109561.48646155153
1.9188491348728283,26894.927896954854,27887.899970153696,27223.951258749832,27554.64894064329,109561.42806650168
1.9311430395835516,26894.914115511252,27887.885829683997,27223.93777758105,27554.63157337403,109561.36929615034
1.943436944294275,26894.900246061054,27887.87159891403,27223.924210322377,27554.614095200646,109561.31015049812
1.955730849004998,26894.886288604415,27887.85727784391,27223.91055697397,27554.59650612333,109561.25062954561
1.9680247537157214,26894.872243141497,27887.84286647381,27223.89681753596,27554.578806142337,109561.19073329361
1.9803186584264447,26894.85810967244,27887.82836480386,27223.882992008468,27554.56099525784,109561.1304617426
1.9926125631371678,26894.843888197433,27887.813772834168,27223.869080391636,27554.543073470097,109561.06981489333
2.004906467847891,26894.82957871659,27887.799090564906,27223.855082685615,27554.525040779306,109561.00879274642
2.0172003725586145,26894.815181230093,27887.784317996222,27223.840998890526,27554.506897185693,109560.94739530253
2.029494277269338,26894.800695738108,27887.76945512824,27223.82682900652,27554.488642689466,109560.88562256233
2.0417881819800607,26894.78612224077,27887.754501961113,27223.81257303373,27554.470277290875,109560.82347452649
2.054082086690784,26894.771460738248,27887.73945849498,27223.79823097229,27554.4518009901,109560.76095119561
2.0663759914015074,26894.756711230715,27887.72432473,27223.78380282237,27554.433213787426,109560.69805257051
2.0786698961122307,26894.741873718336,27887.709100666318,27223.769288584088,27554.41451568304,109560.63477865177
2.090963800822954,26894.72694820125,27887.693786304066,27223.754688257584,27554.395706677176,109560.57112944007
2.1032577055336774,26894.71193467965,27887.6783816434,27223.740001843023,27554.37678677008,109560.50710493616
2.1155516102444003,26894.696833153677,27887.66288668447,27223.725229340536,27554.357755961973,109560.44270514065
2.1278455149551236,26894.681643623517,27887.647301427434,27223.710370750287,27554.33861425306,109560.3779300543
2.140139419665847,26894.66636608933,27887.631625872444,27223.695426072398,27554.319361643633,109560.3127796778
2.1524333243765703,26894.651000551276,27887.61586001963,27223.680395307027,27554.299998133883,109560.2472540118
2.1647272290872936,26894.63554700954,27887.600003869175,27223.665278454322,27554.28052372407,109560.18135305711
2.177021133798017,26894.620005464272,27887.584057421205,27223.650075514437,27554.260938414416,109560.11507681433
2.18931503850874,26894.60437591568,27887.568020675884,27223.634786487506,27554.241242205157,109560.04842528423
