center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
1120545,ABCE,1,21760,21823,21807,21817,63,-16,10,-57,63,613.6875,146,146,7574,0,146,2.28125,0.0,2.28125,0.0003201160692366,-0.0019592274979502,-72.88044121050902,-3113.7116237958635,2.270126280429901,0.0081867097701375,2.270126280429901,-32436.744104378464,112,2.4755938305843728,-1.065740786274885,-0.9558877589841325,2.475593830584373,-1.0657407862748853,-0.9971583199547992
1681875,CEAB,-1,31661,31739,31741,31743,78,2,2,-82,82,1202.0,164,-160,12816,4,-160,-1.927710843373494,0.0481927710843373,-1.927710843373494,0.0005673301744984,-0.0010729069697652,-69.12809083239114,-3153.1035734317547,-1.919946953724224,0.0548006912268804,-1.919946953724224,-34031.52544786919,168,2.468037071597313,-1.0251944687860337,0.9080496530558875,2.468037071597313,-1.0251944687860337,0.8914062800000248
2079195,CEAB,-1,38542,38627,38587,38632,85,-40,45,-90,90,1312.5,260,-260,18950,0,-260,-2.857142857142857,0.0,-2.857142857142857,0.0002211281511002,-0.0010853530858761,-69.09076019545589,-3370.4051109882166,-2.83951542845628,0.0057834402974441,-2.83951542845628,-31467.848133383966,207,2.466788094118492,-1.0634970377136865,0.953253273474273,2.4667880941184914,-1.0634970377136865,0.9494707779681033
1747725,ABCE,1,32802,32889,32874,32874,87,-15,0,-72,87,1149.1875,174,174,12978,0,174,1.9772727272727275,0.0,1.9772727272727275,0.0003240967295951,-0.0012556979426724,-65.57011300932464,-3265.280221964902,1.986822882480231,0.0064586086281679,1.986822882480231,-34516.103153984004,174,2.457831911398917,-1.0591971037315342,-0.9542188034243805,2.457831911398917,-1.0591971037315342,-0.968533099408739
1653105,ABCE,1,31155,31235,31228,31237,80,-7,9,-82,82,1161.6875,178,178,13254,0,178,2.144578313253012,0.0,2.144578313253012,0.0004991955410394,-0.0011681956107319,-68.48025695456391,-3166.7465067889443,2.1515397163927608,0.0066749989010456,2.1515397163927608,-33303.04798547695,165,2.4470798826633104,-1.054479458123419,-0.9481980923753833,2.4470798826633104,-1.054479458123419,-0.965887812051379
1156035,CEAB,-1,22393,22437,22450,22461,44,13,11,-68,68,667.1875,136,-110,6850,26,-110,-1.5942028985507246,0.3768115942028985,-1.5942028985507246,0.0007927282360105,-0.0014375432135411,-69.05119216695203,-3108.4082706889108,-1.60387638237257,0.3848770807345459,-1.60387638237257,-33685.688505343496,115,2.4469405809361073,-0.7526136435959557,0.563134549607927,2.446940580936108,-0.752613643595956,0.5237549229465311
1748475,CEAB,-1,32812,32899,32891,32887,87,-8,-4,-75,87,1228.6875,174,-166,13274,-8,-166,-1.8863636363636365,-0.0909090909090909,-1.8863636363636365,0.0004062579309933,-0.0011728615271267,-65.58622210848705,-3186.443389959619,-1.87679352644984,-0.084452150267747,-1.87679352644984,-34227.32619434401,174,2.4325609695416937,-1.12087750125851,1.0372050762450926,2.4325609695416937,-1.12087750125851,1.022916798815859
1122135,CEAB,-1,21786,21852,21841,21845,66,-11,4,-59,66,690.5,140,-140,7974,0,-140,-2.08955223880597,0.0,-2.08955223880597,0.0004066359829561,-0.0018704760352752,-69.93368097679584,-3039.0908608192435,-2.100610009070734,0.0081811971571858,-2.100610009070734,-32060.615891172358,112,2.408425921980061,-1.0366386632669935,0.9305228163823583,2.4084259219800614,-1.0366386632669937,0.8893382454338524
1802655,CEAB,-1,33750,33837,33840,33823,87,3,-17,-73,90,1343.25,180,-140,13196,-28,-140,-1.5384615384615383,-0.3076923076923077,-1.5384615384615383,0.0004657656155639,-0.0010653271518015,-63.732031518092526,-3119.0507609023407,-1.5274720884589297,-0.3013540077632011,-1.5274720884589297,-34819.087238770466,180,2.4039755022686924,-1.281666763306831,1.2488377417395304,2.4039755022686924,-1.281666763306831,1.236400114367497
1691865,ABCE,1,31836,31903,31898,31925,67,-5,27,-89,89,1093.25,188,188,13164,0,188,2.088888888888889,0.0,2.088888888888889,0.0005640472666356,-0.0010668695392669,-62.35045325684828,-3271.007632367059,2.096928223913831,0.0065848960373199,2.096928223913831,-33783.22889808754,169,2.3992901262996003,-1.0336361017885327,-0.9312545216786385,2.3992901262996003,-1.0336361017885327,-0.9475387468429837
1155615,CEAB,-1,22382,22427,22441,22453,45,14,12,-71,71,722.6875,142,-114,7406,28,-114,-1.5833333333333333,0.3888888888888889,-1.5833333333333333,0.0008414770054591,-0.0013893663225636,-66.03754842587591,-3052.346594811281,-1.5930237179665252,0.3969557881364254,-1.5930237179665252,-33123.570888743045,115,2.3794300676347326,-0.7136929854337248,0.5250028874162254,2.379430067634733,-0.7136929854337251,0.4856012241141882
