k,t_k,Delta_t,n_k,mod12,label,q_e,q_a,q_b,q_c,sigma_t,Delta_eff,T,S_ent,u_e,u_a,u_b,u_c,u_norm,Delta_t_active
1025,10060.610132373644,9.809934803855153,10061,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.809934803855867
1032,10129.262075846702,9.807064306152727,10129,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.65194347305805
1033,10139.066613706542,9.80453785983996,10139,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.804537859839911
1035,10158.680218633403,9.808503171977593,10159,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.613604926860717
1043,10237.116953531297,9.803435553546489,10237,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,78.43673489789398
1044,10246.917819222163,9.800865690866793,10247,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.800865690865976
1046,10266.52778851965,9.80306757821189,10267,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.609969297487623
1052,10325.360242023373,9.807169314602286,10325,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,58.83245350372272
1054,10344.98161449693,9.812675472680551,10345,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.62137247355713
1055,10354.780123645349,9.798509148418214,10355,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.798509148418816
1062,10423.419668918512,9.806545192381094,10423,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.6395452731631
1063,10433.225254563002,9.805585644489549,10433,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.805585644489838
