quadruplet,log_p,mean_prime_index,index_span,log_interval_radical,v5_depth,direction_defect,relative_stretch
"(300491, 300493, 300497, 300499)",12.613173082425693,26036.5,3.0,105.37081041469858,0.0,0.0,2.6622739148548164e-05
"(301991, 301993, 301997, 301999)",12.618152494588434,26163.5,3.0,105.01015942099598,0.0,0.0,2.6490504811134597e-05
"(326141, 326143, 326147, 326149)",12.69508508217847,28102.5,3.0,100.6963629385744,0.0,0.0,2.4528967178328792e-05
"(334421, 334423, 334427, 334429)",12.720155957263968,28751.5,3.0,96.99293361014387,0.0,0.0,2.392165657578726e-05
"(340931, 340933, 340937, 340939)",12.739435389749875,29261.5,3.0,107.20030415072122,0.0,0.0,2.3464883336542524e-05
"(346391, 346393, 346397, 346399)",12.755323473808643,29689.5,3.0,107.34329524286092,0.0,0.0,2.3095021580373164e-05
"(347981, 347983, 347987, 347989)",12.759903159564953,29815.5,3.0,106.6913647592425,0.0,0.0,2.2989496674656447e-05
"(354251, 354253, 354257, 354259)",12.77776098041415,30313.5,3.0,106.85208331585126,0.0,0.0,2.2582602928169635e-05
"(358901, 358903, 358907, 358909)",12.790801863423264,30677.5,3.0,107.66259712686609,0.0,0.0,2.229002103707256e-05
"(361211, 361213, 361217, 361219)",12.797217554103334,30837.5,3.0,104.25460179872341,0.0,0.0,2.2147474496647618e-05
