Omega,P_E_centered,P_A_centered,P_B_centered,P_C_centered,P_total_centered
0.5296379025611001,0.00019004851465889965,0.00018014953157781556,0.0005109881169395168,0.0004946734063871288,0.0013758595695633608
0.5419318072718234,0.00019897362947186403,0.00018860975331444257,0.0005349854463402504,0.0005179046153984567,0.0014404734445250139
0.5542257119825467,0.00020810353100499186,0.00019726409349344,0.0005595334086190672,0.0005416688838470995,0.0015065699169645986
0.5665196166932699,0.00021743821889133052,0.00020611255167825104,0.0005846320037600522,0.0005659662121019942,0.0015741489864316278
0.5788135214039932,0.00022697769275637194,0.00021515512742271138,0.0006102812317473245,0.0005907966005406359,0.0016432106524670437
0.5911074261147164,0.00023672195221634723,0.00022439182027002465,0.0006364810925646202,0.0006161600495479788,0.0017137549145989708
0.6034013308254397,0.00024667099687995163,0.00023382262975430107,0.0006632315861947306,0.0006420565595177752,0.0017857817723467586
0.615695235536163,0.00025682482634743157,0.00024344755539941045,0.0006905327126202074,0.0006684861308515268,0.0018592912252185763
0.6279891402468862,0.00026718344021106096,0.00025326659671995793,0.0007183844718243058,0.000695448763960213,0.0019342832727155376
0.6402830449576095,0.0002777468380541964,0.0002632797532201153,0.0007467868637880714,0.0007229444592610788,0.0020107579143234617
0.6525769496683328,0.0002885150194528699,0.0002734870243949217,0.0007757398884945033,0.0007509732171823252,0.0020887151495246202
0.664870854379056,0.0002994879839741634,0.00028388840972899795,0.0008052435459240208,0.0007795350381577214,0.0021681549777849037
0.6771647590897792,0.0003106657311775813,0.0002944839086980028,0.0008352978360580649,0.0008086299226310836,0.0022490773985647324
0.6894586638005026,0.00032204826061344924,0.00030527352076624713,0.0008659027588769926,0.0008382578710536086,0.0023314824113102976
0.7017525685112258,0.00033363557182472926,0.00031625724539006733,0.0008970583143609484,0.0008684188838856277,0.0024153700154613727
0.714046473221949,0.0003454276643462762,0.0003274350820150682,0.0009287645024908264,0.0008991129615945037,0.0025007402104466744
0.7263403779326723,0.0003574245377039505,0.0003388070300768898,0.0009610213232457157,0.0009303401046569698,0.0025875929956835257
0.7386342826433956,0.0003696261914154729,0.00035037308900221864,0.000993828776604541,0.0009621003135577631,0.0026759283705799957
0.7509281873541188,0.00038203262499113765,0.0003621332582064703,0.0010271868625467593,0.0009943935887893223,0.0027657463345336893
0.763222092064842,0.0003946438379322903,0.00037408753709706544,0.0010610955810508146,0.001027219930853799,0.002857046886933969
0.7755159967755654,0.0004074598297320499,0.0003862359250700365,0.0010955549320946943,0.001060579340259094,0.0029498300271558744
0.7878099014862886,0.0004204805998757248,0.00039857842151304074,0.00113056491565571,0.0010944718175238625,0.003044095754568338
0.8001038061970118,0.0004337061478401944,0.00041111502580302013,0.0011661255317127165,0.0011288973631746538,0.003139844068530585
0.8123977109077352,0.0004471364730942946,0.00042384573730706,0.0012022367802418568,0.0011638559777441364,0.003237074968387348
0.8246916156184584,0.00046077157509812506,0.0004367705553829037,0.0012388986612205393,0.0011993476617761477,0.0033357884534777156
0.8369855203291816,0.00047461145330430197,0.0004498894793781475,0.0012761111746240378,0.0012353724158195908,0.003435984523126078
0.849279425039905,0.0004886561071555391,0.0004632025086314541,0.0013138743204290516,0.0012719302404368101,0.0035376631766528546
0.8615733297506282,0.0005029055360891308,0.0004767096424700028,0.0013521880986128267,0.0013090211361930304,0.0036408244133649906
0.8738672344613514,0.0005173597395315865,0.0004904108802127033,0.001391052509148225,0.0013466451036627963,0.003745468232555311
0.8861611391720746,0.0005320187169027602,0.0005043062211677787,0.001430467552012845,0.0013848021434325621,0.003851594633515946
0.898455043882798,0.0005468824676129713,0.0005183956646346319,0.0014704332271781007,0.0014234922560928077,0.003959203615518512
0.9107489485935212,0.000561950991066689,0.0005326792099017305,0.0015109495346218404,0.0014627154422427648,0.004068295177833025
0.9230428533042444,0.0005772242866558991,0.000547156856249603,0.0015520164743139634,0.001502471702495333,0.004178869319714798
0.9353367580149677,0.0005927023537695809,0.0005618286029449512,0.0015936340462328594,0.0015427610374627873,0.004290926040410179
0.947630662725691,0.0006083851917841859,0.0005766944492498139,0.001635802250347561,0.0015835834477723014,0.004404465339153862
0.9599245674364142,0.0006242728000704913,0.0005917543944133324,0.0016785210866332762,0.0016249389340580822,0.004519487215175182
0.9722184721471375,0.0006403651779895993,0.0006070084376753448,0.0017217905550624127,0.0016668274969618801,0.004635991667689236
0.9845123768578607,0.0006566623248951636,0.0006224565782660475,0.0017656106556063716,0.0017092491371329674,0.004753978695900551
0.996806281568584,0.0006731642401324158,0.0006380988154059177,0.0018099813882366802,0.0017522038552287885,0.0048734482990038025
1.0091001862793072,0.0006898709230398174,0.0006539351483060074,0.0018549027529257472,0.001795691651916373,0.0049944004761879445
1.0213940909900303,0.0007067823729430018,0.0006699655761657826,0.0019003747496440487,0.0018397125278717267,0.0051168352266245595
1.0336879957007536,0.000723898589165144,0.0006861900981781719,0.0019463973783632764,0.0018842664837777974,0.00524075254948439
1.045981900411477,0.0007412195710177088,0.0007026087135236589,0.0019929706390533503,0.001929353520325804,0.005366152443920522
