n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
6035029,13,6029,7,11,1,0.071687564056764,0.0956071706496218,0.07168609372965995,0.095605700322518,9,9,9,9,0.14485739591122823,0.14485739591122823,0.16839260447893012,2.943886369677351e-06,576,0,0,0,-0.027491693386557017,-0.027491693386557017,1.470327104055591e-06,1.4703271038057908e-06,17910317.762877584
6335329,13,6329,7,11,1,0.0717599088781026,0.0987849686158068,0.07175843876372459,0.09878349850142881,9,9,9,9,0.7686849635671095,0.7686849635671095,0.7920875499356765,3.0047874138849906e-06,576,0,0,0,-0.022294851834513064,-0.022294851834513064,1.4701143780104786e-06,1.470114377982723e-06,17622347.3014489
6107101,13,6101,7,11,1,0.0563080198548885,0.0316283445813101,0.05630664852819412,0.0316269732546157,9,8,9,8,1.6712808554177492,1.6712808554177492,1.7612644115025582,4.001230242689502e-06,576,0,0,0,0.35597751120851945,0.35597751120851945,1.371326694379893e-06,1.3713266944007096e-06,17399705.089038443
6323317,13,6317,7,11,1,0.0556162747754467,0.02871239949747,0.05561490534465517,0.028711030066678044,9,8,9,8,2.7092517531957943,2.7092517531957943,2.801144551078974,4.127045831747722e-06,576,0,0,0,0.3460480330618802,0.3460480330618802,1.3694307915285142e-06,1.3694307919552562e-06,17151657.93765102
9116569,601,197,7,11,1,0.2680614005859262,0.3180589627260037,0.2680611258766806,0.31805868801675785,0,8,0,8,0.273620293458009,0.273620293458009,0.28837984962821744,2.511280374761782e-07,576,0,0,0,-0.13048677088644497,-0.13048677088644497,2.7470924562900123e-07,2.7470924585104584e-07,16585699.005769886
8005921,601,173,7,11,1,0.2680611152508558,0.3099191049033577,0.2680608405414533,0.3099188301939554,0,8,0,8,0.2737458887089843,0.2737458887089843,0.2885093858073577,2.512629513340414e-07,576,0,0,0,-0.12835784449104562,-0.12835784449104562,2.747094025035146e-07,2.7470940233698116e-07,16583927.717858335
6339949,601,137,7,11,1,0.2680608178273463,0.2951324218981494,0.2680605431177804,0.29513214718858377,0,8,0,8,0.29258467344176375,0.29258467344176375,0.2894171551804119,2.5147426141458595e-07,576,0,0,0,0.14803919119930412,0.14803919119930412,2.7470956592834384e-07,2.747095656507881e-07,16581145.275310025
4673977,601,101,7,11,1,0.268060750341595,0.2754759271761497,0.268060475631992,0.27547565246654676,0,8,0,8,0.27384455759615345,0.27384455759615345,0.2886162289339002,2.5154185223641434e-07,576,0,0,0,-0.08920733328554149,-0.08920733328554149,2.7470960300979286e-07,2.747096029542817e-07,16580253.81733908
2452681,601,53,7,11,1,0.2680606833509647,0.2325810879512048,0.26806040864132497,0.23258081324156515,0,8,0,8,0.29191598368552474,0.29191598368552474,0.28874731284223937,2.516795176710218e-07,576,0,0,0,0.10202576655211888,0.10202576655211888,2.7470963975817497e-07,2.7470963964715267e-07,16578434.239334684
1342033,601,29,7,11,1,0.2680606777640805,0.1907327752262519,0.2680604030544376,0.19073250051660906,0,8,0,8,0.29193858597523925,0.29193858597523925,0.28876966456856057,2.517186682426953e-07,576,0,0,0,0.07810966691289904,0.07810966691289904,2.7470964286679944e-07,2.7470964283904387e-07,16577916.041228136
