e,exc_combo,count,p(e|combo)
2473,B,1,0.001092896174863388
2689,C,1,0.000646830530401035
2677,grundzustand,1,0.004830917874396135
2437,C,1,0.000646830530401035
2473,grundzustand,1,0.004830917874396135
2677,C,1,0.000646830530401035
2617,grundzustand,1,0.004830917874396135
2617,C,1,0.000646830530401035
2593,grundzustand,1,0.004830917874396135
2593,C,1,0.000646830530401035
2521,C,1,0.000646830530401035
2557,grundzustand,1,0.004830917874396135
2797,grundzustand,1,0.004830917874396135
2833,C,1,0.000646830530401035
2341,grundzustand,1,0.004830917874396135
2377,grundzustand,1,0.004830917874396135
2377,B,1,0.001092896174863388
3049,C,1,0.000646830530401035
3037,grundzustand,1,0.004830917874396135
3037,C,1,0.000646830530401035
2377,C,1,0.000646830530401035
3001,grundzustand,1,0.004830917874396135
3001,C,1,0.000646830530401035
2953,grundzustand,1,0.004830917874396135
2389,B,1,0.001092896174863388
2437,B,1,0.001092896174863388
2953,C,1,0.000646830530401035
2917,grundzustand,1,0.004830917874396135
2917,C,1,0.000646830530401035
2389,C,1,0.000646830530401035
2389,grundzustand,1,0.004830917874396135
2857,grundzustand,1,0.004830917874396135
2857,C,1,0.000646830530401035
2833,grundzustand,1,0.004830917874396135
2689,grundzustand,1,0.004830917874396135
3889,grundzustand,1,0.004830917874396135
3313,grundzustand,1,0.004830917874396135
3361,grundzustand,1,0.004830917874396135
5869,grundzustand,1,0.004830917874396135
5857,grundzustand,1,0.004830917874396135
5821,grundzustand,1,0.004830917874396135
5749,grundzustand,1,0.004830917874396135
5737,grundzustand,1,0.004830917874396135
5701,grundzustand,1,0.004830917874396135
5689,grundzustand,1,0.004830917874396135
5653,grundzustand,1,0.004830917874396135
5641,grundzustand,1,0.004830917874396135
5581,grundzustand,1,0.004830917874396135
5569,grundzustand,1,0.004830917874396135
5557,grundzustand,1,0.004830917874396135
5521,grundzustand,1,0.004830917874396135
5449,grundzustand,1,0.004830917874396135
5437,grundzustand,1,0.004830917874396135
5413,grundzustand,1,0.004830917874396135
5281,grundzustand,1,0.004830917874396135
5233,grundzustand,1,0.004830917874396135
5209,grundzustand,1,0.004830917874396135
5197,grundzustand,1,0.004830917874396135
5113,grundzustand,1,0.004830917874396135
5881,grundzustand,1,0.004830917874396135
5953,grundzustand,1,0.004830917874396135
6037,grundzustand,1,0.004830917874396135
6421,grundzustand,1,0.004830917874396135
6709,grundzustand,1,0.004830917874396135
6673,grundzustand,1,0.004830917874396135
6661,grundzustand,1,0.004830917874396135
6637,grundzustand,1,0.004830917874396135
6577,grundzustand,1,0.004830917874396135
6553,grundzustand,1,0.004830917874396135
6529,grundzustand,1,0.004830917874396135
6481,grundzustand,1,0.004830917874396135
6469,grundzustand,1,0.004830917874396135
6397,grundzustand,1,0.004830917874396135
6073,grundzustand,1,0.004830917874396135
6373,grundzustand,1,0.004830917874396135
6361,grundzustand,1,0.004830917874396135
6337,grundzustand,1,0.004830917874396135
6301,grundzustand,1,0.004830917874396135
6277,grundzustand,1,0.004830917874396135
