center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
938055,879947183009,12,879947183021,4645842269376203426941134,0.48422691821299835,-0.5157730817870017,938053,2.0,-5.53338948872752,0.0,5.53338948872752
946665,896174622209,12,896174622221,4818773721013187829037134,0.48423706090786656,-0.5157629390921334,946669,4.0,5.501258210544727,0.0,-5.501258210544727
954975,911977250609,12,911977250621,4990215033835767107269134,0.4842467508926833,-0.5157532491073167,954973,2.0,-5.484796933490655,0.0,5.484796933490655
958545,918808517009,12,918808517021,5065254545635821267061134,0.4842508842438489,-0.5157491157561511,958549,4.0,5.389071729816501,0.0,-5.389071729816501
959475,920592275609,12,920592275621,5084940827532024741769134,0.4842519581166967,-0.5157480418833034,959473,2.0,-5.351858133476067,0.0,5.351858133476067
976305,953171453009,12,953171453021,5451214913056358115541134,0.4842711891130966,-0.5157288108869034,976309,4.0,5.313205979041787,0.0,-5.313205979041787
978075,956630705609,12,956630705621,5490853841552716755169134,0.48427318962523463,-0.5157268103747654,978073,2.0,-5.313205979041787,0.0,5.313205979041787
983445,967164068009,12,967164068021,5612438006755941276241134,0.48427923380348076,-0.5157207661965193,983449,4.0,5.389071729816501,0.0,-5.389071729816501
1002345,1004695499009,12,1004695499021,6056478274445999195821134,0.4843002110941015,-0.5156997889058985,1002349,4.0,5.25227342804663,0.0,-5.25227342804663
1003365,1006741323209,12,1006741323221,6081168551212134587617134,0.48430133034900913,-0.5156986696509909,1003369,4.0,5.293304824724492,0.0,-5.293304824724492
1006305,1012649753009,12,1012649753021,6152757133688043009541134,0.4843045491921231,-0.5156954508078768,1006309,4.0,5.176149732573829,0.0,-5.176149732573829
1006335,1012710132209,12,1012710132221,6153490871345536684837134,0.4843045819821755,-0.5156954180178245,1006333,2.0,-5.176149732573829,0.0,5.176149732573829
1008855,1017788411009,12,1017788411021,6215359497578631439981134,0.48430733237486623,-0.5156926676251338,1008853,2.0,-5.198497031265826,0.0,5.198497031265826
1015365,1030966083209,12,1030966083221,6377346388438069828417134,0.48431440145525606,-0.5156855985447439,1015369,4.0,5.187385805840755,0.0,-5.187385805840755
1022385,1045271088209,12,1045271088221,6555549887149021871317134,0.4843219666634055,-0.5156780333365945,1022389,4.0,5.1298987149230735,0.0,-5.1298987149230735
1022505,1045516475009,12,1045516475021,6558628197166746715501134,0.4843220954679449,-0.5156779045320551,1022509,4.0,5.153291594497779,0.0,-5.153291594497779
1023945,1048463363009,12,1048463363021,6595652541508342019341134,0.48432363977960224,-0.5156763602203978,1023949,4.0,5.030437921392435,0.0,-5.030437921392435
1027755,1056280340009,12,1056280340021,6694368940213224061201134,0.48432771385889567,-0.5156722861411043,1027753,2.0,-5.153291594497779,0.0,5.153291594497779
1043595,1089090524009,12,1089090524021,7116709016995603750321134,0.48434446909611567,-0.5156555309038844,1043593,2.0,-5.0689042022202315,0.0,5.0689042022202315
1063965,1132021521209,12,1132021521221,7688836346963536170457134,0.4843655949386919,-0.5156344050613081,1063969,4.0,5.056245805348308,0.0,-5.056245805348308
1065015,1134256950209,12,1134256950221,7719232974666197931277134,0.4843666713812101,-0.51563332861879,1065013,2.0,-4.976733742420574,0.0,4.976733742420574
1068255,1141168745009,12,1141168745021,7813596627594660524101134,0.48436998536694054,-0.5156300146330595,1068253,2.0,-5.030437921392435,0.0,5.030437921392435
1068705,1142130377009,12,1142130377021,7826770788602556241861134,0.4843704447367047,-0.5156295552632952,1068709,4.0,5.043425116919247,0.0,-5.043425116919247
1091265,1190859300209,12,1190859300221,8508875237451356994277134,0.48439319613201076,-0.5156068038679893,1091269,4.0,5.030437921392435,0.0,-5.030437921392435
1093065,1194791094209,12,1194791094221,8565154552892862038797134,0.4843949882751709,-0.5156050117248291,1093069,4.0,5.017279836814924,0.0,-5.017279836814924
1093995,1196825060009,12,1196825060021,8594341345679450110801134,0.4843959128988611,-0.5156040871011389,1093993,2.0,-4.976733742420574,0.0,4.976733742420574
1100835,1211837697209,12,1211837697221,8811303626348124112537134,0.4844026859612566,-0.5155973140387434,1100833,2.0,-5.117993812416755,0.0,5.117993812416755
1117605,1249040936009,12,1249040936021,9360619559047363944481134,0.48441909097242886,-0.5155809090275711,1117609,4.0,4.9344739331306915,0.0,-4.9344739331306915
1117815,1249510374209,12,1249510374221,9367657051625456021197134,0.4844192946205208,-0.5155807053794792,1117813,2.0,-4.990432586778736,0.0,4.990432586778736
1118865,1251858888209,12,1251858888221,9402904056017375195317134,0.4844203122076769,-0.5155796877923231,1118869,4.0,4.962844630259907,0.0,-4.962844630259907
1120545,1255621097009,12,1255621097021,9459506035614912251461134,0.4844219380865965,-0.5155780619134035,1120549,4.0,4.990432586778736,0.0,-4.990432586778736
1121835,1258513767209,12,1258513767221,9503141413618147253137134,0.4844231846458262,-0.5155768153541738,1121833,2.0,-4.890349128221754,0.0,4.890349128221754
1122135,1259186958209,12,1259186958221,9513310774432464935917134,0.484423474309312,-0.515576525690688,1122133,2.0,-4.948759890378168,0.0,4.948759890378168
