n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
903,0.8385752166584394,0.4473474217950368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,301,3,B
904,0.6945065857270105,0.3054934142729896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,113,8,A
905,1.0,0.23640618274760056,0.5469018822264652,0.5469018822264652,5.371546677542627,3.7232724347848136,0.7635938172523995,0.23640618274760056,0.0,0.0,905,1,E·A
906,0.7368557606007825,0.2631442393992174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,151,6,B
907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,907,1,B
908,0.796469736796528,0.20353026320347203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227,4,C
909,0.6774642877070056,0.32253571229299444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101,9,A
910,0.8982677307437558,1.0,1.0800477324035422,0.9701720256810691,6.016875486607786,5.8615813083875485,0.4190890053021609,0.2629672714026316,0.3179437232952074,0.0,455,2,E·A·B
911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,911,1,C
912,0.4320121050194038,0.5679878949805962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,48,B
913,1.0,0.3517659059703926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,913,1,C
914,0.8983331760307876,0.10166682396921262,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,457,2,E
915,0.838887736811347,0.3971374626229674,0.5942284469708898,0.4984909570283313,2.451984281647629,2.746345309084328,0.7186450712327044,0.28135492876729556,0.0,0.0,305,3,E·A
916,0.7967315198390834,0.2032684801609167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,229,4,E
917,1.0,0.2852777436757779,0.5978691221245569,0.5978691221245569,5.883497258202494,4.0781295363552275,0.0,0.0,0.2852777436757779,0.714722256324222,917,1,B·C
918,0.4152933698387948,0.5847066301612052,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,54,A
919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,919,1,B
920,0.6952919575890241,0.5405447638817008,0.6404973632512694,0.4453326655255833,1.383161534041884,1.707239692541806,0.0,0.33919092389405175,0.0,0.6608090761059482,115,8,A·C
921,0.8390420158007623,0.16095798419923765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,307,3,B
922,0.8984629621776944,0.10153703782230557,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,461,2,A
