n,r1,r2,r3,r4
593593,7,11,1,5
594425,5,1,7,11
594529,1,7,5,11
594685,5,7,1,11
595045,5,11,7,1
596365,5,7,11,1
597493,1,7,5,11
598213,7,11,5,1
598325,5,7,1,11
598741,11,1,5,7
598885,5,7,11,1
599053,7,1,5,11
600145,5,7,1,11
600425,5,7,11,1
600457,11,1,5,7
600691,7,1,11,5
601657,7,11,1,5
602485,5,1,11,7
602497,7,5,1,11
602525,5,7,11,1
602965,5,11,7,1
603229,11,5,7,1
603889,11,1,5,7
604765,5,7,1,11
604877,7,1,5,11
605245,5,7,11,1
605605,5,7,11,1
606265,5,11,1,7
606385,5,1,7,11
606697,7,1,11,5
607321,11,1,7,5
607705,5,7,1,11
607945,5,1,11,7
608335,5,7,1,11
609301,7,11,5,1
609385,5,7,11,1
609637,7,5,11,1
610645,5,7,1,11
610945,5,7,11,1
613249,7,1,11,5
613585,5,7,11,1
613645,5,7,1,11
614185,5,11,1,7
614215,5,7,11,1
614845,5,7,11,1
615277,1,7,11,5
616405,5,7,11,1
616777,7,5,11,1
617155,5,7,11,1
617485,5,11,7,1
617617,7,11,1,5
618541,7,11,5,1
619045,5,7,11,1
619465,5,7,11,1
620065,5,7,1,11
620305,5,7,1,11
621049,11,1,7,5
621205,5,1,7,11
621335,5,11,1,7
621985,5,7,1,11
622081,5,11,1,7
622325,5,11,7,1
622765,5,11,1,7
622909,7,11,5,1
623077,7,1,5,11
623413,7,5,1,11
623623,7,11,1,5
624085,5,7,11,1
624745,5,11,1,7
625105,5,1,11,7
625537,11,7,5,1
625625,5,7,11,1
626197,11,1,5,7
626521,7,1,5,11
626665,5,1,7,11
626773,7,5,11,1
628045,5,11,7,1
629185,5,7,1,11
629825,5,7,11,1
630721,7,1,5,11
631345,5,11,1,7
631813,7,1,5,11
631873,11,5,7,1
631925,5,7,11,1
632905,5,7,1,11
633061,11,1,7,5
634465,5,1,7,11
635173,7,11,1,5
635845,5,7,1,11
635965,5,11,7,1
637105,5,7,1,11
637273,7,1,11,5
637945,5,7,11,1
638911,7,1,5,11
640297,7,11,5,1
640585,5,11,7,1
640717,7,11,5,1
641305,5,7,1,11
641485,5,1,11,7
641641,7,11,1,5
641953,1,7,11,5
642505,5,11,1,7
642565,5,7,11,1
643093,11,5,7,1
643489,7,11,1,5
643615,5,7,1,11
