M,twin_count,quadruple_count_all,quadruple_count_small_delta,exact_symmetric_count,near_symmetric_count_6,near_symmetric_count_12,weighted_cupola_all,weighted_cupola_small_delta,delta_histogram_small,eta_histogram_small
558991,5,6,0,0,0,0,0.018277112949,0.000000000000,{},{}
559021,5,6,0,0,2,2,0.018277112949,0.000000000000,{},{}
559051,5,6,0,0,0,0,0.022021859911,0.000000000000,{},{}
559081,6,9,0,0,1,1,0.028754476962,0.000000000000,{},{}
559111,5,6,0,0,0,0,0.022289995629,0.000000000000,{},{}
559141,4,3,0,0,0,0,0.015269874547,0.000000000000,{},{}
559171,4,3,0,0,0,0,0.015269874547,0.000000000000,{},{}
559201,4,3,0,0,0,0,0.015269874547,0.000000000000,{},{}
559231,5,6,0,0,0,0,0.025120773207,0.000000000000,{},{}
559261,6,9,0,0,0,0,0.033135298842,0.000000000000,{},{}
559291,6,9,0,0,2,2,0.033135298842,0.000000000000,{},{}
559321,6,9,0,0,0,0,0.033135298842,0.000000000000,{},{}
559351,6,8,0,0,0,0,0.030614521779,0.000000000000,{},{}
559381,6,9,0,0,2,2,0.033825477490,0.000000000000,{},{}
559411,6,9,0,0,0,0,0.033825477490,0.000000000000,{},{}
559441,6,9,0,0,1,1,0.033825477490,0.000000000000,{},{}
559471,6,9,0,0,0,0,0.033825477490,0.000000000000,{},{}
559501,6,9,0,0,1,1,0.033825477490,0.000000000000,{},{}
559531,4,4,2,0,1,1,0.045454545455,0.036111111111,"{36: 1, 120: 1}","{2: 1, 82: 1}"
559561,4,3,2,0,0,0,0.024025974026,0.020238095238,"{84: 1, 120: 1}","{22: 1, 58: 1}"
559591,4,3,2,0,1,1,0.024025974026,0.020238095238,"{84: 1, 120: 1}","{2: 1, 38: 1}"
